effect,contrast,metric,direction,n_images,n_bootstrap,analysis_seed,observed_estimate,ci_2_5_percentile,ci_97_5_percentile,bootstrap_standard_error,ci_includes_zero
OKLab_without_Tail,M01 - M00,PSNR,higher_is_better,50,20000,20260916,0.7793565634295732,0.7448688106369472,0.8134289367982187,0.017469393848166016,False
OKLab_with_Tail,M11 - M10,PSNR,higher_is_better,50,20000,20260916,0.4126087883309708,0.38512692437799173,0.4398212505357629,0.01400612925466385,False
Tail_without_OKLab,M10 - M00,PSNR,higher_is_better,50,20000,20260916,1.2778145328063957,1.2272234026963063,1.3312195063437187,0.026696702632289637,False
Tail_with_OKLab,M11 - M01,PSNR,higher_is_better,50,20000,20260916,0.9110667577077933,0.8660847148856314,0.9603217382912473,0.02418250049988687,False
interaction,M11 - M10 - M01 + M00,PSNR,higher_is_better,50,20000,20260916,-0.36674777509860235,-0.38042289160836373,-0.35197899878752514,0.007264077477329885,False
OKLab_without_Tail,M01 - M00,Top-25 Local PSNR,higher_is_better,50,20000,20260916,0.7598386015246206,0.7233842306053981,0.7946251829782741,0.018110748360253597,False
OKLab_with_Tail,M11 - M10,Top-25 Local PSNR,higher_is_better,50,20000,20260916,0.3875189246409434,0.36272494194608507,0.41070982020216673,0.012264826096358383,False
Tail_without_OKLab,M10 - M00,Top-25 Local PSNR,higher_is_better,50,20000,20260916,1.3066547911678228,1.2494542004942368,1.363606654036581,0.029332075837035145,False
Tail_with_OKLab,M11 - M01,Top-25 Local PSNR,higher_is_better,50,20000,20260916,0.9343351142841456,0.8860933711642242,0.9838337298418857,0.02518746356274516,False
interaction,M11 - M10 - M01 + M00,Top-25 Local PSNR,higher_is_better,50,20000,20260916,-0.3723196768836772,-0.3900113160253529,-0.3535270208793092,0.009270869523593616,False
OKLab_without_Tail,M01 - M00,P95 MSE,lower_is_better,50,20000,20260916,-5.852544723893515e-05,-6.06764186650253e-05,-5.661151796266495e-05,1.032194985481102e-06,False
OKLab_with_Tail,M11 - M10,P95 MSE,lower_is_better,50,20000,20260916,-2.2462588167400095e-05,-2.3159790189311038e-05,-2.178167170677624e-05,3.546491944093955e-07,False
Tail_without_OKLab,M10 - M00,P95 MSE,lower_is_better,50,20000,20260916,-9.685666460427454e-05,-0.00010258735596471528,-9.16273300354078e-05,2.7975500357310515e-06,False
Tail_with_OKLab,M11 - M01,P95 MSE,lower_is_better,50,20000,20260916,-6.079380553273948e-05,-6.493057875923115e-05,-5.687492286597262e-05,2.042616893933443e-06,False
interaction,M11 - M10 - M01 + M00,P95 MSE,lower_is_better,50,20000,20260916,3.6062859071535054e-05,3.41299991505366e-05,3.828960587452462e-05,1.0682743443723935e-06,False
OKLab_without_Tail,M01 - M00,P99 MSE,lower_is_better,50,20000,20260916,-6.036370233050551e-05,-6.288894110402882e-05,-5.8053192025545314e-05,1.2364481367623422e-06,False
OKLab_with_Tail,M11 - M10,P99 MSE,lower_is_better,50,20000,20260916,-2.284045571286701e-05,-2.3626271496323172e-05,-2.2062871740126845e-05,3.9928277285247043e-07,False
Tail_without_OKLab,M10 - M00,P99 MSE,lower_is_better,50,20000,20260916,-0.0001015365441271569,-0.00010845109731926642,-9.520185275359837e-05,3.376665440198854e-06,False
Tail_with_OKLab,M11 - M01,P99 MSE,lower_is_better,50,20000,20260916,-6.40132975095184e-05,-6.896741719465367e-05,-5.941859614104029e-05,2.4170755295225725e-06,False
interaction,M11 - M10 - M01 + M00,P99 MSE,lower_is_better,50,20000,20260916,3.75232466176385e-05,3.526294427683751e-05,3.996619075587662e-05,1.20542938143041e-06,False
OKLab_without_Tail,M01 - M00,LPIPS,lower_is_better,50,20000,20260916,-0.00025274043437093505,-0.00031195859739091244,-0.00019508108973968763,2.984852981279392e-05,False
OKLab_with_Tail,M11 - M10,LPIPS,lower_is_better,50,20000,20260916,-0.0002980644523631782,-0.0003616057096805892,-0.00023713945999043063,3.176147452623552e-05,False
Tail_without_OKLab,M10 - M00,LPIPS,lower_is_better,50,20000,20260916,-0.00040310583310201745,-0.0005257962482282889,-0.0002909640500438401,6.0030456166890367e-05,False
Tail_with_OKLab,M11 - M01,LPIPS,lower_is_better,50,20000,20260916,-0.0004484298510942606,-0.0005580191354383713,-0.0003592357524030379,5.1022435534035087e-05,False
interaction,M11 - M10 - M01 + M00,LPIPS,lower_is_better,50,20000,20260916,-4.5324017992243344e-05,-0.00011193575427751078,1.8666202784515647e-05,3.34679386880383e-05,True
OKLab_without_Tail,M01 - M00,Global CIEDE2000,lower_is_better,50,20000,20260916,-0.44996910055654604,-0.47230878059176457,-0.42629497224455787,0.011746286697838048,False
OKLab_with_Tail,M11 - M10,Global CIEDE2000,lower_is_better,50,20000,20260916,-0.23069906711578358,-0.2454316254854202,-0.21559478914737706,0.007631394718771018,False
Tail_without_OKLab,M10 - M00,Global CIEDE2000,lower_is_better,50,20000,20260916,-0.5423832444551921,-0.5686792122680642,-0.516095573300078,0.013518740937421352,False
Tail_with_OKLab,M11 - M01,Global CIEDE2000,lower_is_better,50,20000,20260916,-0.3231132110144297,-0.34728352119003125,-0.302512524380315,0.011500991421480998,False
interaction,M11 - M10 - M01 + M00,Global CIEDE2000,lower_is_better,50,20000,20260916,0.21927003344076246,0.2068872185635084,0.2311360410429783,0.006229126214160546,False
OKLab_without_Tail,M01 - M00,Top10 CIEDE2000,lower_is_better,50,20000,20260916,-0.6430962599008145,-0.6724594044532202,-0.610460937331293,0.015751031760961327,False
OKLab_with_Tail,M11 - M10,Top10 CIEDE2000,lower_is_better,50,20000,20260916,-0.3034370851516721,-0.3201179864406588,-0.28514406156539923,0.008982281574115993,False
Tail_without_OKLab,M10 - M00,Top10 CIEDE2000,lower_is_better,50,20000,20260916,-0.7829860147680883,-0.8136799876912781,-0.7512537912189543,0.015946817114865362,False
Tail_with_OKLab,M11 - M01,Top10 CIEDE2000,lower_is_better,50,20000,20260916,-0.44332684001894584,-0.47325582014713047,-0.41634746446282317,0.014494127311483035,False
interaction,M11 - M10 - M01 + M00,Top10 CIEDE2000,lower_is_better,50,20000,20260916,0.3396591747491424,0.3220369823412615,0.3557838192075457,0.008639134163502362,False
OKLab_without_Tail,M01 - M00,Gini,lower_is_better,50,20000,20260916,0.005047799354253174,0.0036223479440671284,0.0065411433570051756,0.0007463795253377303,False
OKLab_with_Tail,M11 - M10,Gini,lower_is_better,50,20000,20260916,0.005233313177979745,0.004070654444450314,0.006563311445779469,0.0006313556631078682,False
Tail_without_OKLab,M10 - M00,Gini,lower_is_better,50,20000,20260916,-0.0014186070973965792,-0.0036290600515642675,0.0008743849680755985,0.0011452099775339135,True
Tail_with_OKLab,M11 - M01,Gini,lower_is_better,50,20000,20260916,-0.0012330932736700079,-0.003070065000528524,0.0006690998909521415,0.0009489500416104591,True
interaction,M11 - M10 - M01 + M00,Gini,lower_is_better,50,20000,20260916,0.00018551382372657133,-0.0006476162759859575,0.0010188189982609853,0.0004255964256087526,True
OKLab_without_Tail,M01 - M00,BER30,lower_is_better,50,20000,20260916,0.00018750000000002098,-0.0005000000000000143,0.00093749999999998,0.0003646024309770408,True
OKLab_with_Tail,M11 - M10,BER30,lower_is_better,50,20000,20260916,0.00018749999999999323,-0.00043749999999999345,0.0008124999999999938,0.0003103571291755939,True
Tail_without_OKLab,M10 - M00,BER30,lower_is_better,50,20000,20260916,-0.0001250000000000001,-0.0006875000000000075,0.0005000000000000004,0.00030465277679015903,True
Tail_with_OKLab,M11 - M01,BER30,lower_is_better,50,20000,20260916,-0.00012500000000002787,-0.0007500000000000145,0.0005000000000000282,0.0003303480507085893,True
interaction,M11 - M10 - M01 + M00,BER30,lower_is_better,50,20000,20260916,-2.7755575615628914e-17,-0.0008125000000000215,0.0008125000000000077,0.0004208573144545482,True
