rank,percentile,global_mean_patch_mse,ours_mean_patch_mse
1,6.250000,0.00016976935148704797,0.00014993771037552506
2,12.500000,0.00018204261141363531,0.00016024088836275041
3,18.750000,0.00019121449440717697,0.0001673073711572215
4,25.000000,0.0001994121412280947,0.00017497027874924242
5,31.250000,0.0002068831236101687,0.000180888528120704
6,37.500000,0.00021462627046275884,0.00018750781600829214
7,43.750000,0.00022239664394874126,0.00019413862901274115
8,50.000000,0.00023281440371647477,0.00020261656027287245
9,56.250000,0.00023850992147345096,0.00020807869441341609
10,62.500000,0.00024507276248186827,0.00021370920876506716
11,68.750000,0.00025277293752878904,0.00022056198213249445
12,75.000000,0.00025986644322983921,0.00022565499239135534
13,81.250000,0.00026905996492132545,0.00023384083760902286
14,87.500000,0.00027970559312961996,0.00024390345788560808
15,93.750000,0.00029402598738670349,0.00025522604119032621
16,100.000000,0.00032453483436256647,0.00028229216695763171
