method,seed,source_checkpoint,continuation_epochs,patch_size,stride,top_ratio,global_weight,local_weight,loss_formulation,temperature,psnr,delta_psnr,worst_psnr,delta_worst_psnr,local_specific_gain,top25_mse,delta_top25_mse,p95_mse,delta_p95_mse,local_ssim_top25,local_lpips_top25,ber30,delta_ber30,status
seed17_continuation_message_mse10_global_image_mse1_local_none,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,none,none,none,1.0,0.0,global image MSE,none,36.227406,0.000000,35.315713,0.000000,0.000000,0.001176220,0.000000000,0.001613112,0.000000000,0.924351,0.001132,0.113125,0.000000,reference
seed17_hard_patch16_stride16_top25_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,16,0.25,0.5,0.5,mean of per-image top25 patch MSE,none,36.383190,0.155784,35.518867,0.203154,0.047370,0.001122466,-0.000053754,0.001535207,-0.000077905,0.926543,0.001067,0.113188,0.000063,controlled reference
seed17_hard_patch16_stride8_top25_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,8,0.25,0.5,0.5,mean of per-image top25 overlapping-patch MSE,none,36.410657,0.183251,35.548964,0.233251,0.050000,0.001114714,-0.000061506,0.001523293,-0.000089818,0.926982,0.001067,0.113188,0.000063,best current
seed17_hard_patch16_stride8_top10_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,8,0.10,0.5,0.5,mean of per-image top10 overlapping-patch MSE,none,36.407159,0.179753,35.562769,0.247056,0.067303,0.001111177,-0.000065044,0.001522208,-0.000090904,0.926522,0.001116,0.112938,-0.000188,best current
seed17_gradientaware_patch16_stride8_top10_alpha2_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,8,0.10,0.5,0.5,Top10 MSE selected by MSE/(1+2*robust original-gradient norm), local mean original MSE,2.0,36.297073,0.069667,35.432485,0.116773,0.047106,0.001145000,-0.000031000,0.001564000,-0.000049000,0.926509,0.001005,0.113437,0.000312,content-aware tradeoff; reject as main
seed17_soft_patch16_stride16_normalized_detached_softmax_temperature0.25_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,16,0.25,0.5,0.5,detached normalized softmax weighted patch MSE,0.25,36.313704,0.086298,35.451364,0.135651,0.049353,0.001140049,-0.000036171,0.001550927,-0.000062185,0.925235,0.001078,0.113375,0.000250,soft ablation
seed17_soft_patch16_stride16_normalized_detached_softmax_temperature0.5_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,16,0.25,0.5,0.5,detached normalized softmax weighted patch MSE,0.5,36.304612,0.077206,35.419677,0.103964,0.026758,0.001148398,-0.000027823,0.001572844,-0.000040269,0.925365,0.001067,0.113000,-0.000125,soft ablation
seed17_soft_patch16_stride16_normalized_detached_softmax_temperature1.0_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,16,0.25,0.5,0.5,detached normalized softmax weighted patch MSE,1.0,36.250360,0.022954,35.352504,0.036791,0.013838,0.001166298,-0.000009922,0.001609843,-0.000003268,0.924712,0.001058,0.113188,0.000063,soft ablation
seed17_multiscale_patch16_stride16_top25_weight0.7_plus_patch32_stride32_top25_weight0.3_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16+32,16+32,0.25,0.5,0.5,0.7 top25 Patch16 MSE + 0.3 top25 Patch32 MSE,none,36.356197,0.128791,35.491026,0.175313,0.046522,0.001129690,-0.000046535,0.001543742,-0.000069370,0.926162,0.001060,0.113063,-0.000063,controlled candidate
seed17_excess_patch16_stride16_threshold1_scale3_global_weight0.5_local_weight0.5,17,optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,16,16,none,0.5,0.5,3 times mu_ref mean ReLU(e/mu_ref-1)^2,none,35.864000,-0.363000,35.030000,-0.285000,-0.078000,0.001256000,0.000080000,0.001693000,0.000080000,0.918400,0.001080,0.112940,-0.000190,rejected
