method,image_index,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b,worst_patch_x,worst_patch_y,worst_patch_size
Global continuation,0,4.256549835205078,4.325868129730225,5.479022741317749,5.555448055267334,6.8185038566589355,-0.8022767305374146,0.4341627359390259,58,84,5
Global continuation,1,3.502610921859741,3.560593605041504,4.8945231437683105,4.967449188232422,6.413216590881348,-0.04059189558029175,-0.029517486691474915,55,26,5
Global continuation,2,3.588475227355957,3.6444294452667236,4.928681492805481,5.01121187210083,6.660379409790039,-0.11300991475582123,0.1864948272705078,18,35,5
Global continuation,3,4.01800012588501,4.0873236656188965,5.42059326171875,5.525701522827148,7.3453168869018555,-0.025391217321157455,0.24286815524101257,72,90,5
Global continuation,4,3.4220900535583496,3.4823970794677734,4.888463973999023,4.9658966064453125,6.3018670082092285,-0.33438828587532043,0.4681069552898407,39,58,5
Global continuation,5,3.696662664413452,3.750460386276245,5.246468186378479,5.36978816986084,7.2025227546691895,-0.46967029571533203,0.3806024491786957,56,27,5
Global continuation,6,3.2816238403320312,3.3104324340820312,4.637482166290283,4.745307445526123,6.550418853759766,0.16919206082820892,-0.053903162479400635,38,51,5
Global continuation,7,3.5483384132385254,3.616779088973999,5.22437584400177,5.322347640991211,7.095552921295166,-0.37555044889450073,0.43499499559402466,88,90,5
Global continuation,8,4.3877105712890625,4.483631134033203,5.781620025634766,5.862392902374268,7.4200029373168945,-0.4443007707595825,0.7448611259460449,72,74,5
Global continuation,9,3.611839771270752,3.6575353145599365,5.274105191230774,5.387658596038818,7.621750354766846,-0.5220412015914917,0.4623391032218933,24,90,5
Global continuation,10,4.23507833480835,4.298991680145264,5.5085484981536865,5.595904350280762,7.388608932495117,0.22771333158016205,0.20168575644493103,55,74,5
Global continuation,11,3.661834239959717,3.7239937782287598,5.151583909988403,5.215555667877197,6.335756778717041,-0.060893721878528595,0.038703713566064835,41,26,5
