method,description,seed,source_checkpoint,continuation_epochs,image_size,payload_bits,patch_size,stride,top_ratio,global_weight,local_weight,loss_mode,temperature,selector_alpha,psnr,delta_psnr,worst_psnr,delta_worst_psnr,local_specific_gain,ssim,lpips,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst,top10_patch_mse,top25_patch_mse,patch_mse_p90,patch_mse_p95,patch_mse_p99,max_patch_mse,tail_global_ratio,ber30,ber35,ber40,ber50,ber70,ber100,delta_ssim,delta_lpips,delta_local_ssim_top25,delta_local_ssim_worst,delta_local_lpips_top25,delta_local_lpips_worst,delta_top10_patch_mse,delta_top25_patch_mse,delta_patch_mse_p90,delta_patch_mse_p95,delta_patch_mse_p99,delta_max_patch_mse,delta_tail_global_ratio,delta_ber30,delta_ber35,delta_ber40,delta_ber50,delta_ber70,delta_ber100,status,evaluation_json,evaluation_key,evaluation_sha256,checkpoint,checkpoint_sha256
controlled_seed17_global_continuation,仅整图MSE，无局部项；整图/局部权重=1/0,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,16,,1.0,0.0,none,,,36.22740573604786,0.0,35.31571296900007,0.0,0.0,0.943718433380127,0.0023416117765009403,0.924350917339325,0.9130494594573975,0.0011317391181364655,0.0015323256375268102,0.0012471041409298778,0.001176220364868641,0.001352571544703096,0.001613111677579581,0.0021126427641138435,0.0013087184634059668,1.2235627174377441,0.11312500000000003,0.08299999999999996,0.04162500000000002,0.0014374999999999805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reference,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_seed17_gradientaware_alpha2_metrics.json,Global continuation,97c853a07bba326ab9be1446a691687f8f362d96c34cb769a5195806e2101b1d,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_global_continuation/checkpoint_0020.pth,31fddd342f8bd8bd003e4fbc0cf10878035b1cda81d3e10a647833aad84e5248
controlled_seed17_hard_p16_t25_l50,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,16,0.25,0.5,0.5,topk,,,36.38319005945928,0.15578432341142445,35.518866848020416,0.20315387902034843,0.047369555608923974,0.9453718662261963,0.002190789207816124,0.9265433549880981,0.9156941771507263,0.0010665481677278876,0.0014593405649065971,0.0011869322042912245,0.0011224662885069847,0.001314375374931842,0.0015352071204688398,0.001979661446530372,0.0012449609348550439,1.209341287612915,0.1131875,0.08331250000000001,0.04168749999999999,0.0015625000000000222,0.0,0.0,0.001653432846069336,-0.00015082256868481636,0.0021924376487731934,0.0026447176933288574,-6.519095040857792e-05,-7.298507262021303e-05,-6.017193663865328e-05,-5.375407636165619e-05,-3.819616977125402e-05,-7.790455711074117e-05,-0.00013298131758347157,-6.375752855092287e-05,-0.014221429824829102,6.249999999996536e-05,0.00031250000000004885,6.249999999996536e-05,0.00012500000000004174,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_seed17_gradientaware_alpha2_metrics.json,Hard P16-T25-L50,97c853a07bba326ab9be1446a691687f8f362d96c34cb769a5195806e2101b1d,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_hard_p16_t25_l50/checkpoint_0020.pth,ff0a4c3f0cf5f0ab61e51da23ba2677c2ea446b6e7a0421b6ac53a6a989e8d57
controlled_seed17_hard_patch16_stride8_top25_weight50,16×16/步长8，Top25%原始MSE均值；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,8,0.25,0.5,0.5,topk,,,36.410579423570134,0.18317368752227736,35.54896415494068,0.23325118594060967,0.05007749841833231,0.945725679397583,0.0021963808685541153,0.9270134568214417,0.9162927269935608,0.0010704532032832503,0.001465418841689825,0.0011785817332565784,0.001114714308641851,0.0013091508648358286,0.0015232932812068605,0.0019645477388985453,0.0012361465487629175,1.2083611488342285,0.1131875,0.083125,0.04156249999999995,0.0015625000000000222,0.0,0.0,0.0020072460174560547,-0.00014523090794682503,0.0026625394821166992,0.00324326753616333,-6.128591485321522e-05,-6.690679583698511e-05,-6.852240767329931e-05,-6.150605622678995e-05,-4.342067986726748e-05,-8.981839637272043e-05,-0.00014809502521529816,-7.257191464304924e-05,-0.015201568603515625,6.249999999996536e-05,0.00012500000000004174,-6.250000000007638e-05,0.00012500000000004174,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_seed17_gradientaware_alpha2_metrics.json,Hard patch16 stride8 top25 global0.5 local0.5,97c853a07bba326ab9be1446a691687f8f362d96c34cb769a5195806e2101b1d,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_hard_patch16_stride8_top25_weight50/checkpoint_0020.pth,ce3949ade1cd298b4c55e5290bff7cc0bf240656172b18b9c72155355591eb16
controlled_seed17_hard_patch16_stride8_top10_global_weight50_local_weight50,16×16/步长8，Top10%原始MSE均值；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,8,0.1,0.5,0.5,topk,,,36.407158553631504,0.17975281758364758,35.562769184991694,0.24705621599162697,0.06730339840797939,0.9454488158226013,0.002205453347414732,0.926522433757782,0.9157361388206482,0.0011157816043123603,0.0015443953452631831,0.0011734433937817812,0.0011111765634268522,0.0013007374713197351,0.0015222076384816317,0.001949184889672324,0.0012299430090934038,1.2038086652755737,0.11293750000000002,0.08318749999999997,0.04181250000000003,0.0014999999999999458,0.0,0.0,0.0017303824424743652,-0.00013615842908620834,0.0021715164184570312,0.0026866793632507324,-1.5957513824105263e-05,1.2069707736372948e-05,-7.366074714809656e-05,-6.504380144178867e-05,-5.183407338336097e-05,-9.090403909794921e-05,-0.0001634578744415195,-7.877545431256294e-05,-0.01975405216217041,-0.0001875000000000071,0.0001875000000000071,0.0001875000000000071,6.249999999996536e-05,0.0,0.0,pixel_tail_best_fixed,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_seed17_gradientaware_alpha2_metrics.json,Hard patch16 stride8 top10 global0.5 local0.5,97c853a07bba326ab9be1446a691687f8f362d96c34cb769a5195806e2101b1d,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_hard_patch16_stride8_top10_global_weight50_local_weight50/checkpoint_0020.pth,74fd12a6147b20e68477d9439cf6c416181bc48f07cfa3c3384989f48850f92c
controlled_seed17_soft_p16_t025_l50,16×16/步长16，归一化softmax，温度0.25，detach=True；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,16,,0.5,0.5,soft_tail,0.25,,36.31370405528042,0.08629831923256148,35.45136444153948,0.1356514725394149,0.049353153306853415,0.9444533586502075,0.002202714094892144,0.9252358078956604,0.9140887260437012,0.0010775523260235786,0.001475983764976263,0.0012049013748764992,0.0011400490766391158,0.0013264911598525942,0.0015509264892898493,0.00201376250712201,0.001262611011043191,1.2093548774719238,0.113375,0.08325000000000005,0.04149999999999998,0.0014999999999999458,0.0,0.0,0.0007349252700805664,-0.00013889768160879612,0.0008848905563354492,0.001039266586303711,-5.4186792112886906e-05,-5.634187255054712e-05,-4.220276605337858e-05,-3.617128822952509e-05,-2.6080384850501884e-05,-6.218518828973165e-05,-9.88802569918336e-05,-4.61074523627758e-05,-0.014207839965820312,0.00024999999999997247,0.0002500000000000835,-0.00012500000000004174,6.249999999996536e-05,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_soft_temperature_seed17.json,Soft P16-T0.25-L50,bea0c813ca9d600fa29a7b23d632fe346717c87d45f20416b5986c14b748135c,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_soft_p16_t025_l50/checkpoint_0020.pth,936c56c8d833e1743eac351ece733c23b7c81e10514efcc957c126f7a498f9f6
controlled_seed17_soft_p16_t05_l50,16×16/步长16，归一化softmax，温度0.5，detach=True；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,16,,0.5,0.5,soft_tail,0.5,,36.30461183858658,0.07720610253872451,35.41967726990562,0.10396430090555242,0.026758198366827912,0.9445195198059082,0.0022250418551266193,0.9253652691841125,0.9142253994941711,0.0010674247751012444,0.001456524129025638,0.0012155609438195825,0.0011483975686132908,0.0013238497194834054,0.0015728431055322288,0.0020386394020169975,0.0012741854880005121,1.2156856060028076,0.11299999999999999,0.08299999999999996,0.04125000000000001,0.0014999999999999458,0.0,0.0,0.00080108642578125,-0.00011656992137432098,0.0010143518447875977,0.0011759400367736816,-6.43143430352211e-05,-7.580150850117207e-05,-3.1543197110295296e-05,-2.7822796255350113e-05,-2.8721825219690756e-05,-4.0268572047352184e-05,-7.4003362096846e-05,-3.4532975405454636e-05,-0.007877111434936523,-0.00012500000000004174,0.0,-0.0003750000000000142,6.249999999996536e-05,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_soft_temperature_seed17.json,Soft P16-T0.5-L50,bea0c813ca9d600fa29a7b23d632fe346717c87d45f20416b5986c14b748135c,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_soft_p16_t05_l50/checkpoint_0020.pth,5e0a918675def7df59d9886c0badd76172b4c6b333b51b6975ccce9e35b8eb45
controlled_seed17_soft_p16_t10_l50,16×16/步长16，归一化softmax，温度1，detach=True；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,16,,0.5,0.5,soft_tail,1.0,,36.25035953467893,0.02295379863107172,35.3525044027458,0.03679143374573357,0.01383763511466185,0.9439654350280762,0.002253167098388076,0.924712061882019,0.9134448170661926,0.001058280235156417,0.0014415502082556486,0.0012355416547507048,0.0011662980541586876,0.0013447158155031503,0.0016098432068247345,0.002086495589464903,0.0012955120764672756,1.2191940546035767,0.1131875,0.08299999999999996,0.041437500000000016,0.0014374999999999805,0.0,0.0,0.00024700164794921875,-8.84446781128645e-05,0.0003611445426940918,0.000395357608795166,-7.345888298004866e-05,-9.077542927116156e-05,-1.1562486179172993e-05,-9.922310709953308e-06,-7.85572919994584e-06,-3.26847075484641e-06,-2.614717464894051e-05,-1.320638693869114e-05,-0.0043686628341674805,6.249999999996536e-05,0.0,-0.0001875000000000071,0.0,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_soft_temperature_seed17.json,Soft P16-T1.0-L50,bea0c813ca9d600fa29a7b23d632fe346717c87d45f20416b5986c14b748135c,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_soft_p16_t10_l50/checkpoint_0020.pth,f602b02e8649b77d4d524d16ca7a50ea56b039b596ca7d8869c95c3082664a3b
controlled_seed17_multiscale_patch16_patch32_top25_weight70_weight30_global_weight50_local_weight50,0.7×16×16/步长16 Top25% + 0.3×32×32/步长32 Top25%；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,16,0.25,0.5,0.5,multiscale,,,36.35592046176123,0.12851472571337297,35.49102640729317,0.1753134382931023,0.04679871257972934,0.9450947046279907,0.002188725396990776,0.9261801242828369,0.9153068661689758,0.0010623419657349586,0.0014576901448890567,0.0011946797603741288,0.0011296849697828293,0.0013198509579524398,0.0015437419759109616,0.0019843777921050784,0.0012533417902886868,1.209652066230774,0.11306249999999995,0.083125,0.04168749999999999,0.0014374999999999805,0.0,0.0,0.0013762712478637695,-0.00015288637951016426,0.0018292069435119629,0.002257406711578369,-6.93971524015069e-05,-7.463549263775349e-05,-5.242438055574894e-05,-4.6535395085811615e-05,-3.272058675065628e-05,-6.936970166861937e-05,-0.00012826497200876504,-5.5376673117280006e-05,-0.013910651206970215,-6.250000000007638e-05,0.00012500000000004174,6.249999999996536e-05,0.0,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_seed17_gradientaware_alpha2_metrics.json,Multiscale patch16 top25 weight0.7 plus patch32 top25 weight0.3 global0.5 local0.5,97c853a07bba326ab9be1446a691687f8f362d96c34cb769a5195806e2101b1d,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_multiscale_patch16_patch32_top25_weight70_weight30_global_weight50_local_weight50/checkpoint_0020.pth,665ef925929c76066ad622a932c3d830fc484c5ae259894066edaf34f1f31cee
controlled_seed17_excess_patch16_stride16_global_weight50_local_weight50,16×16/步长16，超均值平方惩罚，阈值1，倍率3；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,16,,0.5,0.5,excess,,,35.86420264968102,-0.3632030863668376,35.030266728219075,-0.2854462407809919,0.07775684558584572,0.9392258524894714,0.0023415384348481894,0.9183993339538574,0.9063563346862793,0.0010803134646266699,0.0014576894463971257,0.0013250577030703425,0.0012561263283714652,0.0014388976036570967,0.0016925201984122388,0.002151986693497747,0.001387472148053348,1.2025710344314575,0.11293750000000002,0.08306250000000004,0.041437500000000016,0.0014374999999999805,0.0,0.0,-0.004492580890655518,-7.334165275096893e-08,-0.005951583385467529,-0.006693124771118164,-5.1425653509795666e-05,-7.463619112968445e-05,7.795356214046478e-05,7.99059635028243e-05,8.63260589540006e-05,7.940852083265781e-05,3.934392938390345e-05,7.87536846473813e-05,-0.02099168300628662,-0.0001875000000000071,6.250000000007638e-05,-0.0001875000000000071,0.0,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_seed17_gradientaware_alpha2_metrics.json,Excess patch16 stride16 threshold1 scale3 global0.5 local0.5,97c853a07bba326ab9be1446a691687f8f362d96c34cb769a5195806e2101b1d,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/controlled_seed17_excess_patch16_stride16_global_weight50_local_weight50/checkpoint_0020.pth,bae9a2f1997fc1c8d18138e6f2203652e8b648508cf6a301224fe8d04ef3ede5
seed17_contentaware_gradient_patch16_stride8_top10_alpha2_global0.5_local0.5,16×16/步长8，Top10%原始MSE均值，按梯度分数选块，alpha=2；整图/局部权重=0.5/0.5,17,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,20,128x128,64,16,8,0.1,0.5,0.5,contentaware_gradient,,2.0,36.297072629231565,0.06966689318370811,35.432485484050645,0.1167725150505774,0.047105621866869285,0.9450234770774841,0.0021897212136536837,0.9265091419219971,0.9157136678695679,0.0010046062525361776,0.0013659941032528877,0.0012102833716198802,0.0011450157035142183,0.001342914835549891,0.0015636171272490162,0.002009143489412963,0.0012691200245171785,1.2099815607070923,0.11343749999999997,0.083125,0.04162500000000002,0.0014999999999999458,0.0,0.0,0.0013050436973571777,-0.00015189056284725666,0.002158224582672119,0.00266420841217041,-0.00012713286560028791,-0.00016633153427392244,-3.682076930999756e-05,-3.120466135442257e-05,-9.656709153205156e-06,-4.949455033056473e-05,-0.00010349927470088048,-3.959843888878822e-05,-0.013581156730651855,0.00031249999999993783,0.00012500000000004174,0.0,6.249999999996536e-05,0.0,0.0,ablation,/mnt/wmcontent/GLX/icassp/MBRS/reports/controlled_seed17_gradientaware_alpha2_metrics.json,Gradient-aware patch16 stride8 top10 alpha2 global0.5 local0.5,97c853a07bba326ab9be1446a691687f8f362d96c34cb769a5195806e2101b1d,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/seed17_contentaware_gradient_patch16_stride8_top10_alpha2_global0.5_local0.5/checkpoint_0020.pth,2a4b12a61c1a437815fd2fc36fbb428d7aaf0fcc1da1f63ff68dc7b48f53be83
