method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share
TrustMark Q,0,3.5926190321333706e-05,44.44588833731721,0.9920916557312012,0.9963371157646179,nan,nan,0.0003303085104562342,0.9913516640663147,0.9930860996246338,0.9835354089736938,0.9827181696891785,0.9825801849365234,0.010367929935455322,7.377355359494686e-05,7.39116730983369e-05,7.098005880834535e-05,7.762689165247139e-05,41.48863645166937,0.3581241673717517,0.656965115697173,2.2233678717401797,0.27792098396752246
TrustMark Q,1,6.696174386888742e-05,41.74173244638854,0.9912828207015991,0.9955190420150757,nan,nan,0.0007404687930829823,0.9905238747596741,0.9932616949081421,0.9790118038654327,0.9729498624801636,0.9706935882568359,0.020311832427978516,0.0004029736155644059,0.0004053259617649019,0.00011023905972251669,0.000112893532786984,39.57664499709526,0.2828481487316213,0.4997133887704336,1.8019129061449337,0.22523911326811671
TrustMark Q,2,7.854050636524335e-05,41.04906303079325,0.9946624636650085,0.9975513219833374,nan,nan,0.001077567576430738,0.9930477142333984,0.9929845333099365,0.9889150857925415,0.9871126413345337,0.9854602217674255,0.005871891975402832,0.00030818721279501915,0.0003290867025498301,0.00014448445290327072,0.00014850434672553092,38.4017888219171,0.33884209759220685,0.6362578187658015,2.1180126969164044,0.26475158711455055
TrustMark Q,3,5.30764227733016e-05,42.750983552531174,0.9896208643913269,0.9946813583374023,nan,nan,0.0009602683130651712,0.9900699853897095,0.9932311773300171,0.981092780828476,0.9750141501426697,0.9698211550712585,0.018217027187347412,0.0004728655912913382,0.0005981465801596642,9.84247017186135e-05,9.948973820428364e-05,40.06895892688675,0.3472983566864938,0.6333092439183933,2.07250719889893,0.25906339986236626
TrustMark Q,4,4.922861626255326e-05,43.077823713770165,0.9916975498199463,0.99535071849823,nan,nan,0.0014445604756474495,0.990821361541748,0.9915345907211304,0.9833589792251587,0.9806470274925232,0.978912353515625,0.010887563228607178,0.00037453541881404817,0.00037861906457692385,9.741221583681181e-05,0.00010151845890504774,40.11386577640322,0.3550781891367483,0.6434582156654031,2.162247481838129,0.27028093522976615
TrustMark Q,5,8.0908699601423e-05,40.920047789345375,0.9882911443710327,0.9946534037590027,nan,nan,0.001203333493322134,0.9862393140792847,0.9908179044723511,0.9742533266544342,0.957075834274292,0.9443298578262329,0.03374207019805908,0.0003983358619734645,0.0004547627177089453,0.00017287897935602814,0.00017564358131494373,37.622578101076556,0.390401838750227,0.8151946748888126,2.6474961453767953,0.3309370181720994
TrustMark Q,6,6.342650158330798e-05,41.977292423305066,0.9857548475265503,0.9935550689697266,nan,nan,0.000731488864403218,0.9835848808288574,0.9825145602226257,0.9761419892311096,0.9709425568580627,0.9666045904159546,0.011572003364562988,0.0002594459801912308,0.00031153365853242576,0.00011438284127507359,0.00011727260061888956,39.41639119760318,0.29919147893949416,0.5338417159299582,1.8704208661515673,0.23380260826894592
TrustMark Q,7,5.197601785766892e-05,42.841969970298635,0.9844228029251099,0.9923412203788757,nan,nan,0.0004387285152915865,0.9838159084320068,0.9854899644851685,0.9733719229698181,0.9595815539360046,0.9484930038452148,0.02590841054916382,0.0002119964628946036,0.0002876301296055317,9.722822869662195e-05,0.0001092991642508423,40.1220762615073,0.3142833299007397,0.5828918126632637,2.21472295688572,0.276840369610715
TrustMark Q,8,3.968607779825106e-05,44.013618205876035,0.9955761432647705,0.9975275993347168,nan,nan,0.000678779324516654,0.9948322772979736,0.994958221912384,0.9919307827949524,0.987566351890564,0.9838161468505859,0.007391870021820068,0.00035512715112417936,0.00040050415555015206,7.275096868397668e-05,7.453564649040345e-05,41.381612196437054,0.32546208342563365,0.5791776207731805,1.9665564194454606,0.24581955243068257
TrustMark Q,9,0.00010061611101264134,39.97332472921525,0.9892751574516296,0.9935492277145386,nan,nan,0.0014609175268560648,0.9895333051681519,0.9926235675811768,0.9813379645347595,0.9802500009536743,0.9796375632286072,0.012373566627502441,0.0004509005229920149,0.0005100096459500492,0.00018759313388727605,0.0002097375509038102,37.26783061316433,0.3192518153378466,0.5838557278411405,2.0905279079734376,0.2613159884966797
TrustMark Q,10,4.055650424561463e-05,43.919394859298386,0.9901866316795349,0.9948360323905945,nan,nan,0.000841807690449059,0.9895815253257751,0.9910309910774231,0.9821005761623383,0.9790847301483154,0.9777049422264099,0.011946260929107666,0.00035694672260433435,0.0003614469023887068,6.490517989732325e-05,7.106266821210738e-05,41.87720642012345,0.25178449863032276,0.4474217008680052,1.7991252568763296,0.2248906571095412
