validation_index,image_id,ciede2000_global_ours,ciede2000_global_oklab,ciede2000_top10_ours,ciede2000_top10_oklab,delta_top10_ciede2000,roi_ciede2000_improvement,roi_x,roi_y,roi_size
13,0814,3.8201489448547363,3.5968003273010254,5.000199794769287,4.738894939422607,0.2613048553466797,0.31725555658340454,92,44,32
37,0838,3.235419511795044,3.0922350883483887,5.176832675933838,4.94696569442749,0.22986698150634766,0.22324520349502563,52,92,32
34,0835,3.7992541790008545,3.6206789016723633,5.272130966186523,5.043260097503662,0.22887086868286133,0.28514182567596436,16,12,32
0,0801,4.076123237609863,3.9051408767700195,5.4470133781433105,5.225919723510742,0.22109365463256836,0.2642773389816284,68,20,32
18,0819,3.842578411102295,3.6967720985412598,5.642043590545654,5.422786712646484,0.21925687789916992,0.22700726985931396,28,92,32
29,0830,3.584611415863037,3.4203104972839355,5.113766193389893,4.897608280181885,0.2161579132080078,0.25027650594711304,12,92,32
10,0811,3.706392288208008,3.557180404663086,5.365856170654297,5.153356552124023,0.21249961853027344,0.21542364358901978,36,24,32
23,0824,3.800455093383789,3.655668258666992,5.273794174194336,5.063539505004883,0.21025466918945312,0.20457112789154053,88,76,32
9,0810,3.2974202632904053,3.1635985374450684,5.327218055725098,5.117262840270996,0.20995521545410156,0.2111256718635559,64,64,32
8,0809,3.190973997116089,3.066551685333252,5.220807075500488,5.011605739593506,0.20920133590698242,0.22631409764289856,8,60,32
33,0834,3.5234360694885254,3.402458429336548,5.637893199920654,5.431502342224121,0.2063908576965332,0.21005435287952423,48,48,32
7,0808,2.9410769939422607,2.821560859680176,4.915959358215332,4.711031913757324,0.2049274444580078,0.20502138137817383,20,24,32
26,0827,4.31631326675415,4.147639274597168,5.790628433227539,5.58673620223999,0.20389223098754883,0.20604199171066284,40,92,32
31,0832,3.890197515487671,3.733722686767578,5.394260883331299,5.1934003829956055,0.20086050033569336,0.19347894191741943,84,72,32
39,0840,4.070802688598633,3.920233726501465,5.556902885437012,5.356753826141357,0.2001490592956543,0.1974949836730957,84,52,32
11,0812,3.5808167457580566,3.4362549781799316,5.412829399108887,5.213850498199463,0.19897890090942383,0.19566574692726135,48,52,32
45,0846,3.733856678009033,3.593390941619873,5.230924606323242,5.033680438995361,0.19724416732788086,0.19780771434307098,4,48,32
15,0816,3.8654143810272217,3.7058815956115723,5.133393287658691,4.936298847198486,0.19709444046020508,0.22025048732757568,92,80,32
24,0825,3.8363077640533447,3.687216281890869,5.217921733856201,5.023470401763916,0.19445133209228516,0.2106574922800064,16,32,32
41,0842,3.8969407081604004,3.7581844329833984,5.319692134857178,5.125664234161377,0.19402790069580078,0.19691050052642822,40,80,32
19,0820,3.9583492279052734,3.818441152572632,5.348326206207275,5.155997276306152,0.19232892990112305,0.2115735411643982,44,92,32
42,0843,3.790709972381592,3.631650924682617,5.104201316833496,4.913904190063477,0.19029712677001953,0.19168508052825928,28,80,32
12,0813,3.802635431289673,3.665982723236084,5.3530659675598145,5.163538932800293,0.18952703475952148,0.19160300493240356,28,60,32
5,0806,3.119865655899048,2.98710036277771,4.848857879638672,4.664119720458984,0.1847381591796875,0.17198619842529297,4,80,40
27,0828,3.1646523475646973,3.054905414581299,5.051907539367676,4.867345809936523,0.18456172943115234,0.20212174952030182,24,20,32
22,0823,3.121354818344116,2.9983644485473633,4.949790954589844,4.765597820281982,0.18419313430786133,0.1950434446334839,60,92,32
20,0821,3.909498691558838,3.769207000732422,5.378070831298828,5.194832801818848,0.18323802947998047,0.1732954978942871,84,92,32
40,0841,4.039168834686279,3.8852767944335938,5.5381622314453125,5.355058670043945,0.1831035614013672,0.19136667251586914,92,4,32
49,0850,3.9933834075927734,3.8155553340911865,5.726283073425293,5.545318126678467,0.18096494674682617,0.21668951213359833,52,8,32
3,0804,3.7057104110717773,3.5523476600646973,5.015528678894043,4.836067199707031,0.17946147918701172,0.2008674144744873,56,92,32
14,0815,3.8838930130004883,3.7489395141601562,5.615691661834717,5.436334133148193,0.17935752868652344,0.1892533004283905,4,56,32
44,0845,3.958758592605591,3.8159830570220947,5.184151649475098,5.008190155029297,0.17596149444580078,0.19494059681892395,4,4,32
46,0847,4.033757209777832,3.885861873626709,5.749685764312744,5.5752387046813965,0.17444705963134766,0.2220163643360138,24,92,32
30,0831,3.787559986114502,3.6542084217071533,5.317046642303467,5.144188404083252,0.17285823822021484,0.1734103560447693,16,12,32
47,0848,3.355318307876587,3.24495267868042,5.115292072296143,4.943694591522217,0.17159748077392578,0.18853327631950378,48,32,32
36,0837,3.827125072479248,3.696848154067993,5.33815336227417,5.173603057861328,0.1645503044128418,0.18022990226745605,56,92,32
38,0839,2.5683512687683105,2.446528911590576,4.271719455718994,4.1072516441345215,0.16446781158447266,0.15991896390914917,60,48,32
25,0826,3.588120937347412,3.4518885612487793,5.263232707977295,5.100704669952393,0.16252803802490234,0.19674092531204224,44,92,32
48,0849,3.6347649097442627,3.517885684967041,4.940983772277832,4.780637741088867,0.16034603118896484,0.15377071499824524,64,52,32
21,0822,3.022379159927368,2.922619581222534,4.326700687408447,4.166918754577637,0.15978193283081055,0.14036418497562408,68,32,32
4,0805,3.5902035236358643,3.470749855041504,4.985129356384277,4.8266801834106445,0.1584491729736328,0.1574067324399948,60,8,32
17,0818,3.5176658630371094,3.4057881832122803,5.17667293548584,5.02233362197876,0.15433931350708008,0.17032590508460999,84,52,32
16,0817,3.6400232315063477,3.539066791534424,5.329873561859131,5.182139873504639,0.1477336883544922,0.1797768473625183,68,36,32
35,0836,3.630038022994995,3.5179522037506104,5.059312343597412,4.913747787475586,0.14556455612182617,0.14611917734146118,40,12,32
32,0833,4.016460418701172,3.904832124710083,5.355838298797607,5.2194414138793945,0.1363968849182129,0.13097158074378967,84,52,32
43,0844,3.0227646827697754,2.9360594749450684,4.493184566497803,4.360615253448486,0.1325693130493164,0.1111879050731659,56,56,32
6,0807,3.2197885513305664,3.139077663421631,5.198159217834473,5.092548847198486,0.10561037063598633,0.14361293613910675,52,4,32
28,0829,3.269686698913574,3.1698811054229736,5.7668137550354,5.663244724273682,0.10356903076171875,0.24115701019763947,20,4,32
2,0803,2.868485450744629,2.792081356048584,5.741281509399414,5.639889717102051,0.10139179229736328,0.13557404279708862,88,72,32
1,0802,2.8822531700134277,2.849313259124756,4.5232768058776855,4.510427474975586,0.01284933090209961,0.052695825695991516,92,76,32
