base_condition,ours_condition,same_condition,base_phase,ours_phase,promoted_pair,base_w_msg,ours_w_msg,base_lambda_img,ours_lambda_img,ber30_base,ber30_ours,abs_delta_ber30,psnr_base,psnr_ours,local_psnr_base,local_psnr_ours,delta_local_psnr,p95_base,p95_ours,delta_p95,gini_base,gini_ours,rank,selected
promoted_wmsg80,promoted_wmsg80,True,promoted,promoted,True,80.0,80.0,1.0,1.0,0.1099375,0.110625,0.0006875000000000075,31.486392332196957,32.353024096039,30.78058822402878,31.61033297843236,0.8297447544035812,0.0008707015530671924,0.0007261043498874641,-0.00014459720317972825,0.08138438120681774,0.08706268247284649,1,True
promoted_wmsg20,promoted_wmsg20,True,promoted,promoted,True,20.0,20.0,1.0,1.0,0.1108125,0.111125,0.0003125000000000072,35.189393867590375,35.6377520441701,34.412367331389305,34.90593517217285,0.4935678407835482,0.00038745406971429474,0.00034487296783481725,-4.258110187947749e-05,0.09524348788116868,0.0891638264225587,2,False
promoted_reference,promoted_reference,True,promoted,promoted,True,10.0,10.0,1.0,1.0,0.111,0.111,0.0,36.222525735101684,36.410612332292104,35.42592541021401,35.65298752384227,0.22706211362825712,0.0003108426282415167,0.00029455477531882936,-1.6287852922687314e-05,0.10093777436212466,0.0945688821649359,3,False
promoted_wmsg40,promoted_wmsg40,True,promoted,promoted,True,40.0,40.0,1.0,1.0,0.111375,0.111875,0.0005000000000000004,33.78577818110702,33.426017653208575,33.04112845272648,32.80950543145873,-0.23162302126775103,0.0005226872711500619,0.0005456236851750873,2.2936414025025403e-05,0.08671867329051054,0.07070535397973192,4,False
wmsg80,wmsg80,True,,,False,80.0,80.0,1.0,1.0,0.1143125,0.1153125,0.0010000000000000009,32.59147722711611,33.193893168300036,31.559143753746426,32.47903548069983,0.9198917269534022,0.0007783152016054373,0.0005940209809341467,-0.0001842942206712906,0.12560166897275957,0.08336630408063969,5,False
wmsg40,wmsg40,True,,,False,40.0,40.0,1.0,1.0,0.1146875,0.114375,0.00031249999999999334,34.238306554370105,34.33324343945972,33.483743425758995,33.60665170743549,0.12290828167649437,0.0004757613530091476,0.00046085295602097174,-1.490839698817584e-05,0.08971934697013262,0.08561970507495395,6,False
wmsg20,wmsg20,True,,,False,20.0,20.0,1.0,1.0,0.1154375,0.115375,6.249999999999312e-05,34.900542732286006,34.97057417507345,34.12323929151835,34.22027291524583,0.09703362372747648,0.0004129919313709252,0.0004026055391295813,-1.0386392241343875e-05,0.09268271594954415,0.08894195163096225,7,False
reference,reference,True,,,False,10.0,10.0,1.0,1.0,0.1148125,0.1153125,0.0005000000000000004,35.31424488733145,35.38101385790666,34.52222366386737,34.612166679219534,0.08994301535216209,0.0003785038368368987,0.00036961714286007916,-8.886693976819528e-06,0.09555778711609784,0.09203502663692882,8,False
wmsg40_img05,wmsg40_img05,True,,,False,40.0,40.0,0.5,0.5,0.1150625,0.1150625,0.0,33.798163565194784,33.84098365610471,33.04940138032077,33.123404006463744,0.07400262614297759,0.0005250476794026326,0.0005133856968313922,-1.1661982571240458e-05,0.08909127508113628,0.08474360076151076,9,False
img05,img05,True,,,False,10.0,10.0,0.5,0.5,0.1151875,0.11575,0.0005625000000000074,34.9151224364619,34.96787302470802,34.13417899904236,34.20468947436314,0.07051047532078059,0.0004121655964991078,0.00040437078307149933,-7.79481342760846e-06,0.09364339609379652,0.09105890734985335,10,False
wmsg20_img05,wmsg20_img05,True,,,False,20.0,20.0,0.5,0.5,0.1150625,0.11475,0.00031249999999999334,34.53364915648359,34.57588208746528,33.76628491542652,33.82959060585981,0.06330569043329604,0.0004466118017444387,0.0004391070944257081,-7.504707318730633e-06,0.09124007026377726,0.08827097640392045,11,False
img025,img025,True,,,False,10.0,10.0,0.25,0.25,0.114875,0.11525,0.00037500000000000033,34.69796547460056,34.72839100005883,33.92379659211995,33.967204826937284,0.0434082348173348,0.0004312837414909154,0.0004264892234641593,-4.794518026756116e-06,0.09231015136704405,0.0906037966119158,12,False
wmsg40_img025,wmsg40_img025,True,,,False,40.0,40.0,0.25,0.25,0.1151875,0.11525,6.2500000000007e-05,33.541478059055905,33.552889161982414,32.798180944968735,32.831660279267886,0.03347933429915173,0.0005560941119620111,0.0005495143024018034,-6.579809560207654e-06,0.08805669260476585,0.0851052577048578,13,False
wmsg20_img025,wmsg20_img025,True,,,False,20.0,20.0,0.25,0.25,0.115,0.115,0.0,34.28189094354105,34.29805152125781,33.52642413738608,33.557385923417336,0.030961786031255656,0.00047112922184169295,0.0004666525445645675,-4.476677277125444e-06,0.08948576694184554,0.08741908670808947,14,False
promoted_wmsg80,promoted_reference,False,promoted,promoted,True,80.0,10.0,1.0,1.0,0.1099375,0.111,0.0010625000000000079,31.486392332196957,36.410612332292104,30.78058822402878,35.65298752384227,4.872399299813491,0.0008707015530671924,0.00029455477531882936,-0.000576146777748363,0.08138438120681774,0.0945688821649359,15,False
promoted_wmsg80,promoted_wmsg20,False,promoted,promoted,True,80.0,20.0,1.0,1.0,0.1099375,0.111125,0.001187500000000008,31.486392332196957,35.6377520441701,30.78058822402878,34.90593517217285,4.125346948144074,0.0008707015530671924,0.00034487296783481725,-0.0005258285852323751,0.08138438120681774,0.0891638264225587,16,False
promoted_wmsg40,promoted_reference,False,promoted,promoted,True,40.0,10.0,1.0,1.0,0.111375,0.111,0.00037500000000000033,33.78577818110702,36.410612332292104,33.04112845272648,35.65298752384227,2.611859071115788,0.0005226872711500619,0.00029455477531882936,-0.00022813249583123255,0.08671867329051054,0.0945688821649359,17,False
promoted_wmsg80,promoted_wmsg40,False,promoted,promoted,True,80.0,40.0,1.0,1.0,0.1099375,0.111875,0.0019375000000000087,31.486392332196957,33.426017653208575,30.78058822402878,32.80950543145873,2.028917207429952,0.0008707015530671924,0.0005456236851750873,-0.0003250778678921051,0.08138438120681774,0.07070535397973192,18,False
promoted_wmsg40,promoted_wmsg20,False,promoted,promoted,True,40.0,20.0,1.0,1.0,0.111375,0.111125,0.0002500000000000002,33.78577818110702,35.6377520441701,33.04112845272648,34.90593517217285,1.8648067194463707,0.0005226872711500619,0.00034487296783481725,-0.00017781430331524465,0.08671867329051054,0.0891638264225587,19,False
