run,phase,method,condition,screen_condition,w_msg,lambda_img,config,output_dir,epochs,source_checkpoint,source_checkpoint_sha256,checkpoint,checkpoint_sha256,checkpoint_epoch,samples,psnr,ssim,ms_ssim,lpips,local_psnr,p95,gini,cv,top10_mean,top10_energy_share,ciede2000_global,ciede2000_top10,ber100,ber70,ber50,ber40,ber30,status,evaluation_epoch
promoted_ours-base_wmsg80,promoted,Ours-base,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/checkpoint_0005.pth,a0deb6302529074f69b5141f4b1bd2a01443ea9a19e4476bd9d2a5d9fddcc01b,5,50,32.59147722711611,0.9285742616653443,0.9705400907993317,0.00916676830034703,31.559143753746426,0.0007783152016054373,0.12560166897275957,0.23047140911221503,0.000794383868924342,0.1775267568230629,5.515521855354309,13.022876758575439,0.0,0.0,0.015875,0.0426875,0.1143125,pass,5
promoted_ours-base_wmsg80,promoted,Ours-base,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/checkpoint_0010.pth,5cf1f2d55262e3890acb642271853f1e9b8d2bb219c25852c5d4ee7e8a4f4a71,10,50,32.38703306528529,0.9177491915225983,0.9666635167598724,0.006745488592423498,31.68112932641626,0.0007221713298349641,0.08374914597664745,0.1514534316956997,0.0007324142567813396,0.157565353512764,5.899455366134643,13.879811019897462,0.0,0.0,0.01575,0.042125,0.1086875,pass,10
promoted_ours-base_wmsg80,promoted,Ours-base,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/checkpoint_0015.pth,7406048200d76da554cc2c6e0a697e376c9b0e065071558ca6359de7d89e2871,15,50,29.93802006196126,0.8826068782806397,0.9508817911148071,0.017260128646157682,28.92926342186492,0.0014230895839864388,0.11315651460473992,0.21348692975938321,0.0014565607893746346,0.17534606605768205,7.371680908203125,16.784377536773682,0.0,0.0,0.0153125,0.0434375,0.110875,pass,15
promoted_ours-base_wmsg80,promoted,Ours-base,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/checkpoint_0020.pth,e2016823b56b830b8ee108a9fd08a5d3af8e7430dff3d569941b58895b2b11ec,20,50,31.486392332196957,0.9069420707225799,0.9621775472164154,0.010058202603831888,30.78058822402878,0.0008707015530671924,0.08138438120681774,0.14722327917814254,0.0008823157148435712,0.15515543073415755,6.349857444763184,14.810484771728516,0.0,0.0,0.016125,0.04425,0.1099375,pass,20
promoted_ours_wmsg80,promoted,Ours,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/checkpoint_0005.pth,9550d9579003388cd902b9c322baa7e5c147ddc1bfa0638a8ecae63cd922d5d5,5,50,33.193893168300036,0.9274950253963471,0.9706106293201446,0.005503117614425719,32.47903548069983,0.0005940209809341467,0.08336630408063969,0.15050771281123163,0.0006028927367879078,0.15688467502593995,5.4081976079940794,12.996861743927003,0.0,0.0,0.0159375,0.04275,0.1153125,pass,5
promoted_ours_wmsg80,promoted,Ours,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/checkpoint_0010.pth,3fc9f2011fa132fcb63bcf6527e25d053e6404650b11ea885254319df1579ae5,10,50,32.41032792322957,0.9191620874404908,0.9667814064025879,0.008017942006699742,31.58543104475,0.0007368543712073006,0.09591619241128742,0.17342228576540947,0.0007492207724135369,0.16238915115594865,5.814924001693726,13.650926628112792,0.0,0.0,0.0151875,0.042,0.1109375,pass,10
promoted_ours_wmsg80,promoted,Ours,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/checkpoint_0015.pth,652bce75b130b3bfb6e46c8556d9d66444a81b3cdf0e2cd0a6eaeb511724114a,15,50,30.828013679372784,0.8910132932662964,0.9556973767280579,0.010333167579956353,30.042352161947683,0.0010517092334339396,0.09085519911962525,0.16619166992604734,0.0010736965609248728,0.1610513687133789,6.753046579360962,15.762376747131349,0.0,0.0,0.0155,0.0440625,0.11125,pass,15
promoted_ours_wmsg80,promoted,Ours,promoted_wmsg80,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/checkpoint_0020.pth,df4357556a1bb4f2caf84b6603da5905e80347c498b0d42c22e5556059db31a9,20,50,32.353024096039,0.9134210312366485,0.9653449499607086,0.004640899959485978,31.61033297843236,0.0007261043498874641,0.08706268247284649,0.15732138484716415,0.0007368411787319929,0.15807064414024352,5.6493515777587895,13.641726512908935,0.0,0.0,0.01575,0.0436875,0.110625,pass,20
promoted_ours-base_wmsg40,promoted,Ours-base,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/checkpoint_0005.pth,13f945190a75393170d7096eb7fa29735d2a8f77783c44dec0918a096a76c8d1,5,50,34.238306554370105,0.9392581236362457,0.9755255246162414,0.0038346326677128673,33.483743425758995,0.0004757613530091476,0.08971934697013262,0.16269283279776572,0.00048415170807857065,0.15982013761997224,4.795367288589477,11.667351551055908,0.0,0.0,0.0163125,0.0446875,0.1146875,pass,5
promoted_ours-base_wmsg40,promoted,Ours-base,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/checkpoint_0010.pth,2a61d7142d81fd06b8a8a0bcd8cd8102d810a076a922d63ab2b0d671c10a3c86,10,50,33.79798081451792,0.9371608865261077,0.9747483801841735,0.006215577605180442,33.04795269882935,0.0005234597581147682,0.08836574913659376,0.15936466172337532,0.0005323272297391668,0.15922567665576934,5.062299780845642,12.227782516479492,0.0,0.0,0.0158125,0.0414375,0.1105625,pass,10
promoted_ours-base_wmsg40,promoted,Ours-base,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/checkpoint_0015.pth,92b48bedd1577ced4bcf26bea83b26653dd020c6325870559da826a1e85b4645,15,50,32.559830082526815,0.9233109271526336,0.9692582619190216,0.007085248874500394,31.561347398891325,0.0007689933262008708,0.11797187397969716,0.21692846953868866,0.0007850155560299754,0.17413543343544005,5.489037690162658,12.739453468322754,0.0,0.0,0.0153125,0.043375,0.1130625,pass,15
