method,alpha,samples,PSNR,SSIM,local_PSNR,P95_MSE,CIEDE2000,BER@30,BER@40,BER@50,clip_or_saturated_fraction,image_status,ber_status
Ours-base,1.0,50,36.222525735101684,0.9597028875350953,35.42592559849976,0.0003108426195831271,3.6546008157730103,0.111125,0.043625,0.0158125,0.0,native model output,real method-specific decoder inference on fixed validation crop masks
Ours-base,1.25,50,34.29350746395115,0.941260689496994,33.496830912446995,0.0004845001373905689,4.514253697395325,0.110375,0.0433125,0.0158125,0.006261393427848816,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours-base,1.5,50,32.71960220257285,0.9213808906078339,31.923557517379756,0.0006958528408722486,5.347406888008118,0.1101875,0.043375,0.015625,0.007786865346133709,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours-base,1.75,50,31.390922469380456,0.9006926310062409,30.59512811530825,0.0009447690876550042,6.153459329605102,0.1099375,0.0435625,0.0156875,0.009352213703095913,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours-base,2.0,50,30.24177177717751,0.8796331489086151,29.445805869091938,0.0012307164567755536,6.932239284515381,0.11,0.043625,0.0156875,0.011001383885741234,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours-base,2.5,50,28.32643074919104,0.8375436818599701,27.52994711632733,0.00191217741696164,8.40885612487793,0.1098125,0.0438125,0.0158125,0.014610189013183117,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours,1.0,50,36.410612332292104,0.9614832425117492,35.65298779418721,0.0002945547513809288,3.598625340461731,0.1110625,0.0435,0.015875,0.0,native model output,real method-specific decoder inference on fixed validation crop masks
Ours,1.25,50,34.480636790504285,0.9436634278297424,33.72287664565823,0.00045924878359073775,4.444536490440369,0.1105,0.04325,0.0159375,0.006034749560058117,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours,1.5,50,32.90573554111221,0.9243540644645691,32.14779285156406,0.0006597850867547095,5.264309244155884,0.1101875,0.04325,0.01575,0.007446696050465107,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours,1.75,50,31.576053221940647,0.9041681218147278,30.81802852669151,0.0008957999656558968,6.057411346435547,0.1099375,0.0433125,0.0156875,0.00897908490151167,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours,2.0,50,30.425934981761134,0.8835457980632782,29.667813463658298,0.0011669599806191399,6.82376166343689,0.1096875,0.0435625,0.01575,0.010541585274040699,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours,2.5,50,28.50866801411199,0.8421493697166443,27.74966544929747,0.0018141600291710347,8.277014017105103,0.1098125,0.0435625,0.01575,0.014012044295668602,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours + OKLab,1.0,50,36.650197404727656,0.9635586428642273,35.879870818733444,0.0002808161066786852,3.465416603088379,0.111,0.043625,0.015875,0.0,native model output,real method-specific decoder inference on fixed validation crop masks
Ours + OKLab,1.25,50,34.7203858834819,0.9465107107162476,33.94995481440092,0.00043790163428639064,4.283510222434997,0.11025,0.0436875,0.015625,0.006008300930261612,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours + OKLab,1.5,50,33.14563103617539,0.9279460620880127,32.37525977318065,0.0006290611006261315,5.077790002822876,0.1099375,0.0436875,0.0155625,0.007436930201947689,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours + OKLab,1.75,50,31.816042507632805,0.9084534883499146,31.045573543316674,0.0008540913413162344,5.847694339752198,0.11,0.0435,0.0155625,0.008937581442296505,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours + OKLab,2.0,50,30.665958871289046,0.8884663105010986,29.89535692268872,0.0011126238608267158,6.592967681884765,0.1099375,0.0436875,0.0155625,0.010502522811293602,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
Ours + OKLab,2.5,50,28.748714496025272,0.8481760609149933,27.97745075840852,0.001729559707455337,8.010077123641969,0.1099375,0.0434375,0.0158125,0.013909504748880863,residual-strength stress visualization; equal alpha for all methods,real method-specific decoder inference on fixed validation crop masks
