run,method,condition,w_msg,lambda_img,config,output_dir,epochs,source_checkpoint,source_checkpoint_sha256,checkpoint,checkpoint_sha256,checkpoint_epoch,samples,psnr,ssim,ms_ssim,lpips,local_psnr,p95,gini,cv,top10_mean,top10_energy_share,ciede2000_global,ciede2000_top10,ber100,ber70,ber50,ber40,ber30,status,phase,screen_condition
ours-base_reference,Ours-base,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_reference,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_reference/checkpoint_0005.pth,8713d6f841954fe04ad0256b325a89010bb4310b3771aebd47065d5c50beff18,5,50,35.31424488733145,0.9509281527996063,0.9804017770290375,0.003187947447877377,34.52222366386737,0.0003785038368368987,0.09555778711609784,0.17397884756326676,0.0003859012830071151,0.16286055564880372,4.178788628578186,10.221279983520509,0.0,0.0,0.016,0.044875,0.1148125,pass,,
ours_reference,Ours,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_reference,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_reference/checkpoint_0005.pth,48e394e59edc5a977a7faec9cf223806b03267cf0d28a6c9fa1c2fb05630dae6,5,50,35.38101385790666,0.9514158201217652,0.9806226503849029,0.0029718462319578975,34.612166679219534,0.00036961714286007916,0.09203502663692882,0.16757360279560088,0.0003766583005199209,0.1614591261744499,4.154285659790039,10.167656364440917,0.0,0.0,0.0160625,0.045,0.1153125,pass,,
ours-base_wmsg20,Ours-base,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20/checkpoint_0005.pth,d92b242f0afb019fdfe81ea4fd47d70526770355e81b1c952a744f006d2ec62f,5,50,34.900542732286006,0.9465360939502716,0.9786064410209656,0.0033960399054922164,34.12323929151835,0.0004129919313709252,0.09268271594954415,0.1684361931681633,0.0004204889485845342,0.16149556189775466,4.427499532699585,10.788239421844482,0.0,0.0,0.0161875,0.0450625,0.1154375,pass,,
ours_wmsg20,Ours,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20/checkpoint_0005.pth,2a98b3e1e322c5f0704c598953c008180d62eab4e1ba04f8089f51d4bf550a59,5,50,34.97057417507345,0.9471165060997009,0.9788638031482697,0.0031343310163356366,34.22027291524583,0.0004026055391295813,0.08894195163096225,0.16165397480130195,0.0004097534640459344,0.15996437579393386,4.391688747406006,10.701232490539551,0.0,0.0,0.016,0.04525,0.115375,pass,,
ours-base_wmsg40,Ours-base,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40/checkpoint_0005.pth,2e5dc83d27cbe0df373f97710a013a7616c46a69bfd5ada3760c32ac3b28ccc9,5,50,34.238306554370105,0.9392581236362457,0.9755255246162414,0.0038346326677128673,33.483743425758995,0.0004757613530091476,0.08971934697013262,0.16269283279776572,0.00048415170807857065,0.15982013761997224,4.795367288589477,11.667351551055908,0.0,0.0,0.0163125,0.0446875,0.1146875,pass,,
ours_wmsg40,Ours,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40/checkpoint_0005.pth,e1689a346a7021415604c5ece81ed6f7a8a8d2dccfa68bde4e7f19907efb73e4,5,50,34.33324343945972,0.9397855961322784,0.9758057260513305,0.0034051572578027846,33.60665170743549,0.00046085295602097174,0.08561970507495395,0.15536560148000716,0.0004684015252860263,0.158097682595253,4.745738458633423,11.545115909576417,0.0,0.0,0.016,0.0445,0.114375,pass,,
ours-base_wmsg80,Ours-base,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg80,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg80/checkpoint_0005.pth,2b18f0bf0ee3223095bec1c3fd5d4de1748b3e2ef98aa6100d867adb49353457,5,50,32.59147722711611,0.9285742616653443,0.9705400907993317,0.00916676830034703,31.559143753746426,0.0007783152016054373,0.12560166897275957,0.23047140911221503,0.000794383868924342,0.1775267568230629,5.515521855354309,13.022876758575439,0.0,0.0,0.015875,0.0426875,0.1143125,pass,,
ours_wmsg80,Ours,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg80,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg80/checkpoint_0005.pth,d2e12e89ceec8f3c576be487bcd0af90a6fca2043145ede220d73bfcb9658c30,5,50,33.193893168300036,0.9274950253963471,0.9706106293201446,0.005503117614425719,32.47903548069983,0.0005940209809341467,0.08336630408063969,0.15050771281123163,0.0006028927367879078,0.15688467502593995,5.4081976079940794,12.996861743927003,0.0,0.0,0.0159375,0.04275,0.1153125,pass,,
ours-base_img05,Ours-base,img05,10.0,0.5,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_img05/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_img05,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_img05/checkpoint_0005.pth,39b1a01a59c36a2db30decddc798bcb57a75438ae999a3c8ebaaa1ca85380303,5,50,34.9151224364619,0.9466672837734222,0.9786626696586609,0.0034047992900013923,34.13417899904236,0.0004121655964991078,0.09364339609379652,0.1703076721727848,0.0004197781131369993,0.16170641154050827,4.38904842376709,10.681531600952148,0.0,0.0,0.015875,0.045,0.1151875,pass,,
ours_img05,Ours,img05,10.0,0.5,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_img05/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_img05,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_img05/checkpoint_0005.pth,4110c0169021f5e394107b7bdfd37744bcf5a28f08b339319fd99e4bee422545,5,50,34.96787302470802,0.9470118117332459,0.9788166928291321,0.003203680869191885,34.20468947436314,0.00040437078307149933,0.09105890734985335,0.16558356560766696,0.00041164216760080307,0.16056860625743866,4.368055686950684,10.643205928802491,0.0,0.0,0.0159375,0.0450625,0.11575,pass,,
