lineage_group,complete_configuration,seed,source,training_mode,image_size,payload,crop_protocol,patch_size,stride,top_ratio,global_weight,local_weight,loss_formulation,temperature,epochs,learning_rate,optimizer_state,device_protocol,evaluation,comparability,status
motivation,seed17_nocrop_encoder_decoder_global_image_mse1,17,random initialization,scratch,128x128,64 bits,Identity(),none,none,none,1.0,0.0,global image MSE,none,100,0.001,historical Adam,non-deterministic single run,one-seed fixed manifest exploratory,not comparable to crop-controlled,incomplete exploratory
motivation,seed17_crop_encoder_decoder_global_image_mse1,17,random initialization,scratch,128x128,64 bits,RandomCrop(0.3,1.0),none,none,none,1.0,0.0,global image MSE,none,100,0.001,historical Adam,non-deterministic suite,uniform fixed manifest,exploratory baseline only,completed exploratory
historical_exploratory,patch32_nonoverlap_top25_global0.5_local0.5,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),32,32,0.25,0.5,0.5,top25 per-image patch MSE,none,100,0.001,historical Adam,DataParallel/single GPU mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch16_nonoverlap_top25_global0.5_local0.5,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),16,16,0.25,0.5,0.5,top25 per-image patch MSE,none,100,0.001,historical mixed,DataParallel/single GPU mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch16_nonoverlap_top25_global0.75_local0.25,17/29,global/legacy continuation variants,scratch or resume,128x128,64 bits,RandomCrop(0.3,1.0),16,16,0.25,0.75,0.25,top25 per-image patch MSE,none,100,0.001,historical mixed,mixed,partial uniform evaluation,not comparable to controlled,incomplete exploratory
historical_exploratory,patch16_nonoverlap_top25_global0.25_local0.75,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),16,16,0.25,0.25,0.75,top25 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch32_nonoverlap_top25_global0.75_local0.25,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),32,32,0.25,0.75,0.25,top25 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch32_nonoverlap_top50_global0.5_local0.5,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),32,32,0.5,0.5,0.5,top50 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
historical_exploratory,patch32_nonoverlap_top10_global0.5_local0.5,17,crop-trained Global,scratch,128x128,64 bits,RandomCrop(0.3,1.0),32,32,0.1,0.5,0.5,top10 per-image patch MSE,none,100,0.001,historical mixed,mixed,one-seed fixed evaluation,not comparable to controlled,incomplete exploratory
historical_exploratory,patch64_nonoverlap_top25_global0.5_local0.5,17,crop-trained Global,scratch,128x128,64 bits,RandomCrop(0.3,1.0),64,64,0.25,0.5,0.5,top25 per-image patch MSE,none,100,0.001,historical mixed,mixed,one-seed fixed evaluation,not comparable to controlled,incomplete exploratory
historical_exploratory,patch8_nonoverlap_top10_global0.5_local0.5,17/29/41,crop-trained Global per seed,scratch,128x128,64 bits,RandomCrop(0.3,1.0),8,8,0.1,0.5,0.5,top10 per-image patch MSE,none,100,0.001,historical mixed,mixed,uniform fixed manifest,not comparable to controlled,completed exploratory
