run,description,seed,training_mode,init_checkpoint,resume_checkpoint,latest_checkpoint,latest_epoch,configured_epochs,optimizer_in_checkpoint,image_size,payload_bits,crop_protocol,patch_size,stride,ratio,global_weight,local_weight,loss_mode,temperature,alpha,lr,batch,deterministic_config,single_gpu_required,actual_device_count,evaluation_role,resolved_checkpoint_mismatches,config_json
ablation_patch16_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.5/0.5,17,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/ablation_patch16_128_m64_crop/checkpoint_0010.pth,10,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.5,0.5,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""ablation_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 17, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.5, ""local_loss_weight"": 0.5, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
ablation_patch64_128_m64_crop,64×64/步长64，Top25%原始MSE均值；整图/局部权重=0.5/0.5,17,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/ablation_patch64_128_m64_crop/checkpoint_0010.pth,10,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",64,64,0.25,0.5,0.5,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""ablation_patch64_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 17, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.5, ""local_loss_weight"": 0.5, ""local_loss_mode"": ""topk"", ""local_patch_size"": 64, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
candidate_worst_patch16_weight25_seed17_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.75/0.25,17,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.75,0.25,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""ablation_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 17, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.75, ""local_loss_weight"": 0.25, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
candidate_worst_patch16_weight25_seed29_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.75/0.25,29,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.75,0.25,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""ablation_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 29, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.75, ""local_loss_weight"": 0.25, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda"", ""resume"": null, ""init_checkpoint"": null}"
candidate_worst_patch16_weight50_seed29_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.5/0.5,29,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.5,0.5,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""candidate_worst_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 29, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.5, ""local_loss_weight"": 0.5, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
candidate_worst_patch16_weight50_seed41_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.5/0.5,41,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed41_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.5,0.5,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""candidate_worst_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 41, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.5, ""local_loss_weight"": 0.5, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
candidate_worst_patch16_weight75_seed17_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.25/0.75,17,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed17_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.25,0.75,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""candidate_worst_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 17, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.25, ""local_loss_weight"": 0.75, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
candidate_worst_patch16_weight75_seed29_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.25/0.75,29,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed29_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.25,0.75,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""candidate_worst_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 29, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.25, ""local_loss_weight"": 0.75, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
candidate_worst_patch16_weight75_seed41_128_m64_crop,16×16/步长16，Top25%原始MSE均值；整图/局部权重=0.25/0.75,41,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight75_seed41_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",16,16,0.25,0.25,0.75,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""candidate_worst_patch16_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 41, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.25, ""local_loss_weight"": 0.75, ""local_loss_mode"": ""topk"", ""local_patch_size"": 16, ""local_topk_ratio"": 0.25, ""save_every"": 10, ""device"": ""cuda""}"
candidate_worst_patch32_topk50_seed29_128_m64_crop,32×32/步长32，Top50%原始MSE均值；整图/局部权重=0.5/0.5,29,random_initialized_scratch,,,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch32_topk50_seed29_128_m64_crop/checkpoint_0100.pth,100,100,True,128x128,64,"[""RandomCrop(0.3, 1.0)""]",32,32,0.5,0.5,0.5,topk,,,0.001,16,False,False,not persisted in checkpoint,exploratory only / not a registered main result,[],"{""name"": ""ablation_topk50_128_m64_crop"", ""dataset_path"": ""/mnt/wmcontent/GLX/icassp/MBRS/datasets"", ""H"": 128, ""W"": 128, ""message_length"": 64, ""batch_size"": 16, ""num_workers"": 0, ""epochs"": 100, ""lr"": 0.001, ""seed"": 29, ""noise_layers"": [""RandomCrop(0.3, 1.0)""], ""message_loss_weight"": 10.0, ""global_loss_weight"": 0.5, ""local_loss_weight"": 0.5, ""local_loss_mode"": ""topk"", ""local_patch_size"": 32, ""local_topk_ratio"": 0.5, ""save_every"": 10, ""device"": ""cuda""}"
