method,image_index,global_ciede2000,ciede2000_top10,ciede2000_p95,global_chroma,chroma_top10,chroma_p95,global_mse,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,cv,top10_over_mean,top10_energy_share,ber50,ber40,ber30
Hard Top10 incumbent,0,4.076123237609863,5.4470133781433105,5.381059646606445,0.009926673956215382,0.01334632933139801,0.013135079760104418,0.00018162495689466596,37.40824475765696,0.9784901142120361,0.9928147792816162,0.0024879968259483576,36.646978811921,0.00022088269179221243,0.08206917053596566,0.14355418555144484,1.2257110333725727,0.1532138791715716,0.0125,0.0375,0.1125
Hard Top10 incumbent,1,2.8822531700134277,4.5232768058776855,4.4011160135269165,0.012403959408402443,0.017840158194303513,0.017403867095708847,0.00041680040885694325,33.80071863690712,0.9747650027275085,0.9913520216941833,0.0022959569469094276,33.30412110077794,0.000469049351522699,0.049694953978436915,0.08844890038487627,1.1294419027643103,0.1411802378455388,0.0125,0.05,0.11875
Hard Top10 incumbent,2,2.868485450744629,5.741281509399414,5.531330704689026,0.012808471918106079,0.022606996819376945,0.021726615261286497,0.0004317543935030699,33.64763234387183,0.9528807997703552,0.982941746711731,0.0027716560289263725,32.020686895905946,0.0006668597779935226,0.170142983299291,0.3055941864687122,1.545166356599734,0.19314579457496675,0.015625,0.046875,0.109375
Hard Top10 incumbent,3,3.7057104110717773,5.015528678894043,4.932538151741028,0.010759197175502777,0.015214952640235424,0.014519758988171816,0.00024186588416341692,36.164253857285104,0.9824622869491577,0.9940563440322876,0.0027064441237598658,35.36652893752235,0.0002920573970186524,0.07869602628308889,0.14295342963357854,1.2395571442250422,0.15494464302813027,0.015625,0.04375,0.115625
Hard Top10 incumbent,4,3.5902035236358643,4.985129356384277,4.913462400436401,0.009528782218694687,0.014338070526719093,0.012915779370814562,0.0001742931635817513,37.58719647181163,0.9729529619216919,0.9910751581192017,0.0012454601237550378,36.9178210387052,0.00020817456970689818,0.06753927250949018,0.11992405771525105,1.2136377646490109,0.15170472058112636,0.0125,0.034375,0.078125
Hard Top10 incumbent,5,3.119865655899048,4.848857879638672,4.760980248451233,0.01007882785052061,0.013633551076054573,0.013371298089623451,0.00022181541135068983,36.54008283110003,0.948971152305603,0.9837803244590759,0.0014353584265336394,35.86161664720192,0.00026456745399627835,0.06958948771369489,0.12469058028786952,1.2274161541444615,0.15342701926805768,0.015625,0.059375,0.084375
Hard Top10 incumbent,6,3.2197885513305664,5.198159217834473,5.016276717185974,0.012345557101070881,0.018584560602903366,0.01796987932175398,0.00036805530544370413,34.3408691761902,0.9508849382400513,0.9829318523406982,0.004021580331027508,32.657412865978515,0.00055378170509357,0.19764440705121195,0.3494907743170053,1.5425550990067314,0.19281938737584142,0.00625,0.021875,0.065625
Hard Top10 incumbent,7,2.9410769939422607,4.915959358215332,4.8308128118515015,0.010030913166701794,0.01393391378223896,0.013639278942719102,0.00021505857876036316,36.6744322860872,0.9293341636657715,0.9757668375968933,0.0023286629002541304,35.91413571583396,0.00026065364363603294,0.08508590491281358,0.1601964317144704,1.2836453241594403,0.16045566551993004,0.0125,0.05,0.128125
Hard Top10 incumbent,8,3.190973997116089,5.220807075500488,5.132696270942688,0.010677500627934933,0.013574252836406231,0.013403452234342694,0.0002436069044051692,36.13310406915302,0.962427020072937,0.98686283826828,0.001727286376990378,35.06094355372478,0.0003201654981239699,0.11478971764586833,0.2020620420028008,1.3209793693753953,0.1651224211719244,0.009375,0.034375,0.103125
Hard Top10 incumbent,9,3.2974202632904053,5.327218055725098,5.229811310768127,0.0099820327013731,0.013564595021307468,0.01331855054013431,0.00019342017185408622,37.13498235175021,0.9562244415283203,0.9853336215019226,0.002034291857853532,36.45934396285651,0.0002288616742589511,0.06925176147893759,0.12290888680831094,1.211923822410623,0.15149047780132788,0.009375,0.04375,0.13125
Hard Top10 incumbent,10,3.706392288208008,5.365856170654297,5.253622531890869,0.010455336421728134,0.014020553790032864,0.013748274883255363,0.00018251904111821204,37.386918215022874,0.9519518613815308,0.9834449291229248,0.0025147104170173407,36.69428378690209,0.00022305468883132562,0.06864717023929573,0.12226998735005222,1.229636427935347,0.1537045534919184,0.009375,0.025,0.096875
Hard Top10 incumbent,11,3.5808167457580566,5.412829399108887,5.305062532424927,0.010377835482358932,0.013827567920088768,0.013504100497812033,0.00019924425578210503,37.0061419047436,0.9609479308128357,0.9869364500045776,0.0008085357258096337,36.698057930409945,0.0002164824072679039,0.03669444351438231,0.06757095384283761,1.0961227455607678,0.13701534319509598,0.01875,0.025,0.096875
Hard Top10 incumbent,12,3.802635431289673,5.3530659675598145,5.254103660583496,0.011197016574442387,0.017064306885004044,0.016303181182593107,0.00025585299590602517,35.92009493298714,0.958317220211029,0.9863563776016235,0.0017482067923992872,34.210929338247446,0.0004649666225304827,0.16313351072519838,0.33986075288450696,1.8324209575108292,0.22905261968885365,0.015625,0.0375,0.09375
