comparison,method,epoch,grid,metric,value
trajectory,Global continuation,1,16,patch_count,64
trajectory,Global continuation,1,16,global_mse_mean,0.0013007200323045254
trajectory,Global continuation,1,16,global_psnr,34.8787616249097
trajectory,Global continuation,1,16,top10_mean,0.0018077082931995392
trajectory,Global continuation,1,16,top10_psnr,33.44931640893722
trajectory,Global continuation,1,16,top10_over_mean,1.3709890842437744
trajectory,Global continuation,1,16,p95_over_mean,1.3493584386885837
trajectory,Global continuation,1,16,p99_over_mean,1.4684996770881127
trajectory,Global continuation,1,16,max_over_mean,1.5202370882034302
trajectory,Global continuation,1,16,cv,0.20630761981010437
trajectory,Global continuation,1,16,gini,0.11472257029471128
trajectory,Global continuation,1,16,top10_energy_share,0.14995191991329193
trajectory,Global continuation,1,16,p50,0.0012092720135115087
trajectory,Global continuation,1,16,p75,0.0014564452576451004
trajectory,Global continuation,1,16,p90,0.0018117308267392217
trajectory,Global continuation,1,16,p95,0.002092888136394321
trajectory,Global continuation,1,16,p99,0.0028161423583514976
trajectory,Global continuation,1,32,patch_count,16
trajectory,Global continuation,1,32,global_mse_mean,0.0013007200323045254
trajectory,Global continuation,1,32,global_psnr,34.8787616249097
trajectory,Global continuation,1,32,top10_mean,0.0016322389710694551
trajectory,Global continuation,1,32,top10_psnr,33.89276248540577
trajectory,Global continuation,1,32,top10_over_mean,1.2438452243804932
trajectory,Global continuation,1,32,p95_over_mean,1.2165865644806226
trajectory,Global continuation,1,32,p99_over_mean,1.282007295346545
trajectory,Global continuation,1,32,max_over_mean,1.2983626127243042
trajectory,Global continuation,1,32,cv,0.14618414640426636
trajectory,Global continuation,1,32,gini,0.07985542948456018
trajectory,Global continuation,1,32,top10_energy_share,0.15548065304756165
trajectory,Global continuation,1,32,p50,0.001195619348436594
trajectory,Global continuation,1,32,p75,0.0014329594559967518
trajectory,Global continuation,1,32,p90,0.0017809388460591437
trajectory,Global continuation,1,32,p95,0.002037278236821294
trajectory,Global continuation,1,32,p99,0.0025014146463945507
trajectory,Global continuation,5,16,patch_count,64
trajectory,Global continuation,5,16,global_mse_mean,0.001186761655844748
trajectory,Global continuation,5,16,global_psnr,35.276964854695244
trajectory,Global continuation,5,16,top10_mean,0.001695474493317306
trajectory,Global continuation,5,16,top10_psnr,33.727687306817835
trajectory,Global continuation,5,16,top10_over_mean,1.406528353691101
trajectory,Global continuation,5,16,p95_over_mean,1.3846470402641113
trajectory,Global continuation,5,16,p99_over_mean,1.513821646424328
trajectory,Global continuation,5,16,max_over_mean,1.5683887004852295
trajectory,Global continuation,5,16,cv,0.22300584614276886
trajectory,Global continuation,5,16,gini,0.12368685042191176
trajectory,Global continuation,5,16,top10_energy_share,0.15383902192115784
trajectory,Global continuation,5,16,p50,0.0010910218115895987
trajectory,Global continuation,5,16,p75,0.0013357315328903496
trajectory,Global continuation,5,16,p90,0.001689595973584801
trajectory,Global continuation,5,16,p95,0.0019703231984749426
trajectory,Global continuation,5,16,p99,0.0027642197394743564
trajectory,Global continuation,5,32,patch_count,16
trajectory,Global continuation,5,32,global_mse_mean,0.001186761655844748
trajectory,Global continuation,5,32,global_psnr,35.276964854695244
trajectory,Global continuation,5,32,top10_mean,0.0015205189120024443
trajectory,Global continuation,5,32,top10_psnr,34.200681651199424
trajectory,Global continuation,5,32,top10_over_mean,1.268377661705017
trajectory,Global continuation,5,32,p95_over_mean,1.2385492887462564
trajectory,Global continuation,5,32,p99_over_mean,1.3101374564358321
trajectory,Global continuation,5,32,max_over_mean,1.328034520149231
trajectory,Global continuation,5,32,cv,0.1590617448091507
trajectory,Global continuation,5,32,gini,0.0867953038860878
trajectory,Global continuation,5,32,top10_energy_share,0.15854720771312714
trajectory,Global continuation,5,32,p50,0.0010834209388121963
trajectory,Global continuation,5,32,p75,0.001320354436757043
trajectory,Global continuation,5,32,p90,0.0016543391277082265
trajectory,Global continuation,5,32,p95,0.0019145738275256
trajectory,Global continuation,5,32,p99,0.002379908210132271
trajectory,Global continuation,10,16,patch_count,64
trajectory,Global continuation,10,16,global_mse_mean,0.001092313090339303
trajectory,Global continuation,10,16,global_psnr,35.6371285303455
trajectory,Global continuation,10,16,top10_mean,0.0015724145341664553
trajectory,Global continuation,10,16,top10_psnr,34.054929418838555
trajectory,Global continuation,10,16,top10_over_mean,1.4178297519683838
trajectory,Global continuation,10,16,p95_over_mean,1.3928459164804554
trajectory,Global continuation,10,16,p99_over_mean,1.5263977884780462
trajectory,Global continuation,10,16,max_over_mean,1.583412528038025
trajectory,Global continuation,10,16,cv,0.22773092985153198
trajectory,Global continuation,10,16,gini,0.12619115999553487
trajectory,Global continuation,10,16,top10_energy_share,0.15507511794567108
trajectory,Global continuation,10,16,p50,0.0010040238266810775
trajectory,Global continuation,10,16,p75,0.0012391793716233224
trajectory,Global continuation,10,16,p90,0.0015629033092409371
trajectory,Global continuation,10,16,p95,0.0018418563064187762
trajectory,Global continuation,10,16,p99,0.0025737305241636927
trajectory,Global continuation,10,32,patch_count,16
trajectory,Global continuation,10,32,global_mse_mean,0.001092313090339303
trajectory,Global continuation,10,32,global_psnr,35.6371285303455
trajectory,Global continuation,10,32,top10_mean,0.0014075039653107524
trajectory,Global continuation,10,32,top10_psnr,34.53610364280492
trajectory,Global continuation,10,32,top10_over_mean,1.2764441967010498
trajectory,Global continuation,10,32,p95_over_mean,1.2490988099790235
trajectory,Global continuation,10,32,p99_over_mean,1.314727667084182
trajectory,Global continuation,10,32,max_over_mean,1.3311347961425781
trajectory,Global continuation,10,32,cv,0.16327714920043945
trajectory,Global continuation,10,32,gini,0.0893540070546447
trajectory,Global continuation,10,32,top10_energy_share,0.15955552458763123
trajectory,Global continuation,10,32,p50,0.00099735998082906
trajectory,Global continuation,10,32,p75,0.0012288147408980876
trajectory,Global continuation,10,32,p90,0.0015256454702466727
trajectory,Global continuation,10,32,p95,0.0017677327676210548
trajectory,Global continuation,10,32,p99,0.0022607194166630504
trajectory,Global continuation,15,16,patch_count,64
trajectory,Global continuation,15,16,global_mse_mean,0.0012153199641034007
trajectory,Global continuation,15,16,global_psnr,35.173693591955264
trajectory,Global continuation,15,16,top10_mean,0.0018917153356596828
trajectory,Global continuation,15,16,top10_psnr,33.25204206753456
trajectory,Global continuation,15,16,top10_over_mean,1.5241655111312866
trajectory,Global continuation,15,16,p95_over_mean,1.4888207662946642
trajectory,Global continuation,15,16,p99_over_mean,1.678004111401832
trajectory,Global continuation,15,16,max_over_mean,1.7508779764175415
trajectory,Global continuation,15,16,cv,0.2717251479625702
trajectory,Global continuation,15,16,gini,0.1459758607011114
trajectory,Global continuation,15,16,top10_energy_share,0.16670560836791992
trajectory,Global continuation,15,16,p50,0.0010151434689760208
trajectory,Global continuation,15,16,p75,0.0013113662716932595
trajectory,Global continuation,15,16,p90,0.001869326771702617
trajectory,Global continuation,15,16,p95,0.0024865988641977308
trajectory,Global continuation,15,16,p99,0.004278107122518121
trajectory,Global continuation,15,32,patch_count,16
trajectory,Global continuation,15,32,global_mse_mean,0.0012153199641034007
trajectory,Global continuation,15,32,global_psnr,35.173693591955264
trajectory,Global continuation,15,32,top10_mean,0.0016771421069279313
trajectory,Global continuation,15,32,top10_psnr,33.77490128698079
trajectory,Global continuation,15,32,top10_over_mean,1.3492274284362793
trajectory,Global continuation,15,32,p95_over_mean,1.3140625457764599
trajectory,Global continuation,15,32,p99_over_mean,1.3984585743122695
trajectory,Global continuation,15,32,max_over_mean,1.4195574522018433
trajectory,Global continuation,15,32,cv,0.19986720383167267
trajectory,Global continuation,15,32,gini,0.10826502535535694
trajectory,Global continuation,15,32,top10_energy_share,0.1686534285545349
trajectory,Global continuation,15,32,p50,0.0010201066033914685
trajectory,Global continuation,15,32,p75,0.001314898137934506
trajectory,Global continuation,15,32,p90,0.0018257283722050493
trajectory,Global continuation,15,32,p95,0.002314037783071398
trajectory,Global continuation,15,32,p99,0.004034411939792334
trajectory,Global continuation,20,16,patch_count,64
trajectory,Global continuation,20,16,global_mse_mean,0.0009534971904940903
trajectory,Global continuation,20,16,global_psnr,36.22740573604786
trajectory,Global continuation,20,16,top10_mean,0.0013980993535369635
trajectory,Global continuation,20,16,top10_psnr,34.56521956427827
trajectory,Global continuation,20,16,top10_over_mean,1.4406744241714478
trajectory,Global continuation,20,16,p95_over_mean,1.4135746142157075
trajectory,Global continuation,20,16,p99_over_mean,1.558274602080064
trajectory,Global continuation,20,16,max_over_mean,1.6159685850143433
trajectory,Global continuation,20,16,cv,0.23787176609039307
trajectory,Global continuation,20,16,gini,0.1313935015946622
trajectory,Global continuation,20,16,top10_energy_share,0.15757378935813904
trajectory,Global continuation,20,16,p50,0.0008660818275529891
trajectory,Global continuation,20,16,p75,0.0010717205004766583
trajectory,Global continuation,20,16,p90,0.0013664842699654398
trajectory,Global continuation,20,16,p95,0.001668373291613532
trajectory,Global continuation,20,16,p99,0.00236814807169139
trajectory,Global continuation,20,32,patch_count,16
trajectory,Global continuation,20,32,global_mse_mean,0.0009534973069094121
trajectory,Global continuation,20,32,global_psnr,36.22740520580477
trajectory,Global continuation,20,32,top10_mean,0.001247104024514556
trajectory,Global continuation,20,32,top10_psnr,35.061573105932695
trajectory,Global continuation,20,32,top10_over_mean,1.2934751510620117
trajectory,Global continuation,20,32,p95_over_mean,1.2644867697902107
trajectory,Global continuation,20,32,p99_over_mean,1.3340590952435607
trajectory,Global continuation,20,32,max_over_mean,1.3514519929885864
trajectory,Global continuation,20,32,cv,0.17215308547019958
trajectory,Global continuation,20,32,gini,0.0940043999194245
trajectory,Global continuation,20,32,top10_energy_share,0.16168439388275146
trajectory,Global continuation,20,32,p50,0.0008638840226922184
trajectory,Global continuation,20,32,p75,0.0010701713035814464
trajectory,Global continuation,20,32,p90,0.001352571544703096
trajectory,Global continuation,20,32,p95,0.001613111677579581
trajectory,Global continuation,20,32,p99,0.0021126427641138435
final,Global continuation,20,32,lpips_mean,0.0006138294702395797
final,Global continuation,20,32,lpips_median,0.0005100432317703962
final,Global continuation,20,32,lpips_top10_mean,0.0013563461834564805
final,Global continuation,20,32,lpips_p90,0.0011086270096711817
final,Global continuation,20,32,lpips_p95,0.001533691986696793
final,Global continuation,20,32,lpips_max_mean,0.0015316620701923966
final,Global continuation,20,32,lpips_tail_gap,0.0008463030098937452
final,Global continuation,20,32,ssim_mean,0.9505069255828857
final,Global continuation,20,32,ssim_median,0.952549159526825
final,Global continuation,20,32,ssim_bottom10_mean,0.9176024794578552
final,Global continuation,20,32,ssim_p10,0.8973858058452606
final,Global continuation,20,32,ssim_min_mean,0.9130494594573975
final,Global continuation,20,32,ssim_tail_gap,0.03494684770703316
trajectory,Hard stride8 Top25,1,16,patch_count,64
trajectory,Hard stride8 Top25,1,16,global_mse_mean,0.0012983509805053473
trajectory,Hard stride8 Top25,1,16,global_psnr,34.886678810731816
trajectory,Hard stride8 Top25,1,16,top10_mean,0.001800551894120872
trajectory,Hard stride8 Top25,1,16,top10_psnr,33.46654348538982
trajectory,Hard stride8 Top25,1,16,top10_over_mean,1.3679776191711426
trajectory,Hard stride8 Top25,1,16,p95_over_mean,1.3465329827284251
trajectory,Hard stride8 Top25,1,16,p99_over_mean,1.4649338571792856
trajectory,Hard stride8 Top25,1,16,max_over_mean,1.5163038969039917
trajectory,Hard stride8 Top25,1,16,cv,0.2048216313123703
trajectory,Hard stride8 Top25,1,16,gini,0.11387873188308761
trajectory,Hard stride8 Top25,1,16,top10_energy_share,0.14962252974510193
trajectory,Hard stride8 Top25,1,16,p50,0.0012076591956429183
trajectory,Hard stride8 Top25,1,16,p75,0.0014543581928592175
trajectory,Hard stride8 Top25,1,16,p90,0.001805463258642703
trajectory,Hard stride8 Top25,1,16,p95,0.0020852425252087413
trajectory,Hard stride8 Top25,1,16,p99,0.002814406529068947
trajectory,Hard stride8 Top25,1,32,patch_count,16
trajectory,Hard stride8 Top25,1,32,global_mse_mean,0.0012983509805053473
trajectory,Hard stride8 Top25,1,32,global_psnr,34.886678810731816
trajectory,Hard stride8 Top25,1,32,top10_mean,0.0016268407925963402
trajectory,Hard stride8 Top25,1,32,top10_psnr,33.90714937641282
trajectory,Hard stride8 Top25,1,32,top10_over_mean,1.2419466972351074
trajectory,Hard stride8 Top25,1,32,p95_over_mean,1.2149008607460308
trajectory,Hard stride8 Top25,1,32,p99_over_mean,1.2798110019474278
trajectory,Hard stride8 Top25,1,32,max_over_mean,1.2960385084152222
trajectory,Hard stride8 Top25,1,32,cv,0.14493471384048462
trajectory,Hard stride8 Top25,1,32,gini,0.07913834156954919
trajectory,Hard stride8 Top25,1,32,top10_energy_share,0.15524333715438843
trajectory,Hard stride8 Top25,1,32,p50,0.0011938276002183557
trajectory,Hard stride8 Top25,1,32,p75,0.0014302247145678848
trajectory,Hard stride8 Top25,1,32,p90,0.001773395820055157
trajectory,Hard stride8 Top25,1,32,p95,0.0020287794992327685
trajectory,Hard stride8 Top25,1,32,p99,0.002484977894928306
trajectory,Hard stride8 Top25,5,16,patch_count,64
trajectory,Hard stride8 Top25,5,16,global_mse_mean,0.001174108823761344
trajectory,Hard stride8 Top25,5,16,global_psnr,35.32351639417444
trajectory,Hard stride8 Top25,5,16,top10_mean,0.001666029216721654
trajectory,Hard stride8 Top25,5,16,top10_psnr,33.803773780808825
trajectory,Hard stride8 Top25,5,16,top10_over_mean,1.397201418876648
trajectory,Hard stride8 Top25,5,16,p95_over_mean,1.3754587666812665
trajectory,Hard stride8 Top25,5,16,p99_over_mean,1.5010560537546431
trajectory,Hard stride8 Top25,5,16,max_over_mean,1.5553529262542725
trajectory,Hard stride8 Top25,5,16,cv,0.2184455692768097
trajectory,Hard stride8 Top25,5,16,gini,0.12118110884175458
trajectory,Hard stride8 Top25,5,16,top10_energy_share,0.15281890332698822
trajectory,Hard stride8 Top25,5,16,p50,0.0010824875207617879
trajectory,Hard stride8 Top25,5,16,p75,0.0013172245817258954
trajectory,Hard stride8 Top25,5,16,p90,0.0016571551794186234
trajectory,Hard stride8 Top25,5,16,p95,0.0019279074098449197
trajectory,Hard stride8 Top25,5,16,p99,0.0027091702655889075
trajectory,Hard stride8 Top25,5,32,patch_count,16
trajectory,Hard stride8 Top25,5,32,global_mse_mean,0.001174108823761344
trajectory,Hard stride8 Top25,5,32,global_psnr,35.32351639417444
trajectory,Hard stride8 Top25,5,32,top10_mean,0.001496415468864143
trajectory,Hard stride8 Top25,5,32,top10_psnr,34.2700780235538
trajectory,Hard stride8 Top25,5,32,top10_over_mean,1.2619045972824097
trajectory,Hard stride8 Top25,5,32,p95_over_mean,1.2330959897869918
trajectory,Hard stride8 Top25,5,32,p99_over_mean,1.3022367037600375
trajectory,Hard stride8 Top25,5,32,max_over_mean,1.3195219039916992
trajectory,Hard stride8 Top25,5,32,cv,0.15517720580101013
trajectory,Hard stride8 Top25,5,32,gini,0.08470227120345518
trajectory,Hard stride8 Top25,5,32,top10_energy_share,0.1577380746603012
trajectory,Hard stride8 Top25,5,32,p50,0.0010768172214739025
trajectory,Hard stride8 Top25,5,32,p75,0.0012962200271431357
trajectory,Hard stride8 Top25,5,32,p90,0.0016329166828654709
trajectory,Hard stride8 Top25,5,32,p95,0.0018558475538156909
trajectory,Hard stride8 Top25,5,32,p99,0.002320238994434476
trajectory,Hard stride8 Top25,10,16,patch_count,64
trajectory,Hard stride8 Top25,10,16,global_mse_mean,0.0010667697060853243
trajectory,Hard stride8 Top25,10,16,global_psnr,35.73989317143631
trajectory,Hard stride8 Top25,10,16,top10_mean,0.0015202000504359603
trajectory,Hard stride8 Top25,10,16,top10_psnr,34.201592487228886
trajectory,Hard stride8 Top25,10,16,top10_over_mean,1.4024772644042969
trajectory,Hard stride8 Top25,10,16,p95_over_mean,1.3773215201837912
trajectory,Hard stride8 Top25,10,16,p99_over_mean,1.5069464836823299
trajectory,Hard stride8 Top25,10,16,max_over_mean,1.5634058713912964
trajectory,Hard stride8 Top25,10,16,cv,0.22003260254859924
trajectory,Hard stride8 Top25,10,16,gini,0.12186014841872252
trajectory,Hard stride8 Top25,10,16,top10_energy_share,0.15339593589305878
trajectory,Hard stride8 Top25,10,16,p50,0.000982492114417255
trajectory,Hard stride8 Top25,10,16,p75,0.0011959926050622016
trajectory,Hard stride8 Top25,10,16,p90,0.001505920209456235
trajectory,Hard stride8 Top25,10,16,p95,0.0017780622758436946
trajectory,Hard stride8 Top25,10,16,p99,0.0024836632050573783
trajectory,Hard stride8 Top25,10,32,patch_count,16
trajectory,Hard stride8 Top25,10,32,global_mse_mean,0.0010667697060853243
trajectory,Hard stride8 Top25,10,32,global_psnr,35.73989317143631
trajectory,Hard stride8 Top25,10,32,top10_mean,0.0013642903650179505
trajectory,Hard stride8 Top25,10,32,top10_psnr,34.67153179288595
trajectory,Hard stride8 Top25,10,32,top10_over_mean,1.2661839723587036
trajectory,Hard stride8 Top25,10,32,p95_over_mean,1.2391876352159752
trajectory,Hard stride8 Top25,10,32,p99_over_mean,1.3039785921024256
trajectory,Hard stride8 Top25,10,32,max_over_mean,1.3201762437820435
trajectory,Hard stride8 Top25,10,32,cv,0.15713077783584595
trajectory,Hard stride8 Top25,10,32,gini,0.08587940646132848
trajectory,Hard stride8 Top25,10,32,top10_energy_share,0.15827299654483795
trajectory,Hard stride8 Top25,10,32,p50,0.000977051502559334
trajectory,Hard stride8 Top25,10,32,p75,0.0011914147180505097
trajectory,Hard stride8 Top25,10,32,p90,0.0014805833343416452
trajectory,Hard stride8 Top25,10,32,p95,0.0017263288842514156
trajectory,Hard stride8 Top25,10,32,p99,0.0021926425327546896
trajectory,Hard stride8 Top25,15,16,patch_count,64
trajectory,Hard stride8 Top25,15,16,global_mse_mean,0.0010807047365233302
trajectory,Hard stride8 Top25,15,16,global_psnr,35.68352936425819
trajectory,Hard stride8 Top25,15,16,top10_mean,0.0015661870129406452
trajectory,Hard stride8 Top25,15,16,top10_psnr,34.07216372917051
trajectory,Hard stride8 Top25,15,16,top10_over_mean,1.424810528755188
trajectory,Hard stride8 Top25,15,16,p95_over_mean,1.397580682976112
trajectory,Hard stride8 Top25,15,16,p99_over_mean,1.5384713615754038
trajectory,Hard stride8 Top25,15,16,max_over_mean,1.5958492755889893
trajectory,Hard stride8 Top25,15,16,cv,0.2302638441324234
trajectory,Hard stride8 Top25,15,16,gini,0.12686900303308574
trajectory,Hard stride8 Top25,15,16,top10_energy_share,0.15583866834640503
trajectory,Hard stride8 Top25,15,16,p50,0.0009632612636778504
trajectory,Hard stride8 Top25,15,16,p75,0.0012022665468975902
trajectory,Hard stride8 Top25,15,16,p90,0.0016104467678815127
trajectory,Hard stride8 Top25,15,16,p95,0.002023804245982319
trajectory,Hard stride8 Top25,15,16,p99,0.0026523909810930485
trajectory,Hard stride8 Top25,15,32,patch_count,16
trajectory,Hard stride8 Top25,15,32,global_mse_mean,0.0010807046201080084
trajectory,Hard stride8 Top25,15,32,global_psnr,35.6835298320875
trajectory,Hard stride8 Top25,15,32,top10_mean,0.0014090347103774548
trajectory,Hard stride8 Top25,15,32,top10_psnr,34.531382996098635
trajectory,Hard stride8 Top25,15,32,top10_over_mean,1.2859222888946533
trajectory,Hard stride8 Top25,15,32,p95_over_mean,1.260787482774357
trajectory,Hard stride8 Top25,15,32,p99_over_mean,1.3211112231893665
trajectory,Hard stride8 Top25,15,32,max_over_mean,1.336192011833191
trajectory,Hard stride8 Top25,15,32,cv,0.16722704470157623
trajectory,Hard stride8 Top25,15,32,gini,0.09166590774286508
trajectory,Hard stride8 Top25,15,32,top10_energy_share,0.16074028611183167
trajectory,Hard stride8 Top25,15,32,p50,0.0009546519431751221
trajectory,Hard stride8 Top25,15,32,p75,0.0012208936386741698
trajectory,Hard stride8 Top25,15,32,p90,0.0015426745638251304
trajectory,Hard stride8 Top25,15,32,p95,0.0019320372026413676
trajectory,Hard stride8 Top25,15,32,p99,0.0024374354048632084
trajectory,Hard stride8 Top25,20,16,patch_count,64
trajectory,Hard stride8 Top25,20,16,global_mse_mean,0.0009141174959950149
trajectory,Hard stride8 Top25,20,16,global_psnr,36.410579700112976
trajectory,Hard stride8 Top25,20,16,top10_mean,0.0013162423856556416
trajectory,Hard stride8 Top25,20,16,top10_psnr,34.827241194818484
trajectory,Hard stride8 Top25,20,16,top10_over_mean,1.4113048315048218
trajectory,Hard stride8 Top25,20,16,p95_over_mean,1.383589490587863
trajectory,Hard stride8 Top25,20,16,p99_over_mean,1.520112184853065
trajectory,Hard stride8 Top25,20,16,max_over_mean,1.5745911598205566
trajectory,Hard stride8 Top25,20,16,cv,0.22298845648765564
trajectory,Hard stride8 Top25,20,16,gini,0.12309747113080434
trajectory,Hard stride8 Top25,20,16,top10_energy_share,0.15436147153377533
trajectory,Hard stride8 Top25,20,16,p50,0.0008320243796333671
