config,row,run,psnr,worst_psnr,ssim,ber30,ber50,delta_psnr,delta_worst_psnr,delta_ssim,delta_ber30,delta_ber50
crop_global_baseline,seed17,optimization_global_seed17_128_m64_crop,34.54146026611328,33.79663055419922,0.9215188598632813,0.1123125,0.0020625,0.0,0.0,0.0,0.0,0.0
crop_global_baseline,seed29,optimization_global_seed29_128_m64_crop,34.80877685546875,33.81258911132812,0.927071499824524,0.1145,0.0021875,0.0,0.0,0.0,0.0,0.0
crop_global_baseline,seed41,optimization_global_seed41_128_m64_crop,34.51989562988281,33.57559478759766,0.9223088598251343,0.116375,0.0024375,0.0,0.0,0.0,0.0,0.0
crop_global_baseline,mean,,34.623377583821615,33.728271484375,0.9236330731709798,0.11439583333333332,0.002229166666666667,0.0,0.0,0.0,0.0,0.0
crop_global_baseline,std,,0.1609221110643418,0.13246244445328367,0.0030038489265913184,0.0020332522183274153,0.00019094065395649327,0.0,0.0,0.0,0.0,0.0
patch_mean,seed17,optimization_patch_mean_seed17_128_m64_crop,35.07993408203125,33.74370422363281,0.9337213015556336,0.1115625,0.0015,0.5384738159179676,-0.05292633056640739,0.012202441692352295,-0.0007500000000000007,-0.0005625000000000001
patch_mean,seed29,optimization_patch_mean_seed29_128_m64_crop,33.61623428344726,32.87686828613281,0.9053524851799011,0.11475,0.002625,-1.1925425720214875,-0.9357208251953111,-0.02171901464462289,0.0002500000000000002,0.00043749999999999995
patch_mean,seed41,optimization_patch_mean_seed41_128_m64_crop,33.32211883544922,32.13558258056641,0.9155285334587098,0.109125,0.0019375,-1.1977767944335938,-1.440012207031252,-0.0067803263664245605,-0.0072500000000000064,-0.0005
patch_mean,mean,,34.006095733642574,32.91871836344401,0.9182007733980816,0.1118125,0.0020208333333333332,-0.6172818501790379,-0.8095531209309902,-0.005432299772898386,-0.0025833333333333355,-0.00020833333333333337
patch_mean,std,,0.9415267245492075,0.804877243095407,0.014371954820419782,0.002820821024099192,0.0005671107328673417,1.0009171889110329,0.7020972328471025,0.017000858265922014,0.004072263907623543,0.0005601804024895314
