model,image_index,global_mse,patch_mean_mse,top10_patch_mse,top25_patch_mse,max_patch_mse,patch_mse_std,patch_mse_cv,worst_global_ratio,max_global_ratio,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst
No-crop Global,0,0.000901800871361047,0.000901800871361047,0.0012004341697320342,0.001137256040237844,0.001221120241098106,0.00018560134049039334,0.20581188797950745,1.2610944509506226,1.3540908098220825,0.9002992510795593,0.890281617641449,0.0020299390889704227,0.003368343925103545
No-crop Global,1,0.0006266114651225507,0.0006266114069148898,0.0008594872779212892,0.0008003896800801158,0.0009314264752902091,0.0001416201121173799,0.22600944340229034,1.2773300409317017,1.4864498376846313,0.9574058055877686,0.9429572224617004,0.0006752833141945302,0.000856071594171226
No-crop Global,2,0.0006603272049687803,0.0006603271467611194,0.0009116132277995348,0.0008888429147191346,0.0009354052017442882,0.0001643411669647321,0.2488783895969391,1.3460643291473389,1.4165782928466797,0.9796705842018127,0.9784250259399414,0.0005763212684541941,0.0006553377024829388
No-crop Global,3,0.0004977970384061337,0.0004977970384061337,0.0006290044402703643,0.0006061866297386587,0.000638211437035352,9.400971612194553e-05,0.1888514906167984,1.2177385091781616,1.282071590423584,0.9702748656272888,0.9669162631034851,0.0014268684899434447,0.0018140084575861692
No-crop Global,4,0.0005026215803809464,0.0005026215803809464,0.0008420272497460246,0.000733054825104773,0.0009590811096131802,0.00017443129036109895,0.347042977809906,1.4584627151489258,1.908157467842102,0.931111216545105,0.9116048812866211,0.0012367222225293517,0.0017055475618690252
No-crop Global,5,0.0006714171613566577,0.0006714171613566577,0.0010449892142787576,0.0009593399008736014,0.001120100263506174,0.00021231058053672314,0.31621262431144714,1.4288283586502075,1.6682628393173218,0.9668719172477722,0.9589622616767883,0.0012228949926793575,0.0017851099837571383
No-crop Global,6,0.0007553808391094208,0.0007553808973170817,0.001386911259032786,0.001170935109257698,0.0015790327452123165,0.00029966392321512103,0.3967057466506958,1.5501254796981812,2.0903797149658203,0.9707621932029724,0.9679188132286072,0.0009803057182580233,0.0011805465910583735
No-crop Global,7,0.0009106136858463287,0.0009106136858463287,0.0013921617064625025,0.0012011118233203888,0.001675711595453322,0.0002362110244575888,0.25939762592315674,1.3190135955810547,1.8402003049850464,0.9219240546226501,0.9067220687866211,0.0015583096537739038,0.0021657892502844334
No-crop Global,8,0.0004672174109145999,0.0004672174109145999,0.0006399119738489389,0.0006083935732021928,0.0006520983879454434,0.00010024072253145278,0.21454834938049316,1.3021637201309204,1.3957065343856812,0.9788903594017029,0.9754875302314758,0.0013236482627689838,0.0016563665121793747
No-crop Global,9,0.0008371697622351348,0.0008371698204427958,0.0011402186937630177,0.0010964281391352415,0.0011846416164189577,0.00018940865993499756,0.22624880075454712,1.3096843957901,1.4150553941726685,0.9700354337692261,0.968371570110321,0.0005859405500814319,0.000674369337502867
