method,comparison_type,payload_ecc,psnr,top25_local_psnr,gini,lpips,crop_ratio,raw_ber,bit_accuracy,exact_decode_success
MBRS Global continuation,STRICT internal,64 raw bits; no ECC,36.26317237177012,35.52221250320571,0.09500680981487682,0.0023495975974947214,100%,0.0,1.0,N/A
MBRS Global continuation,STRICT internal,64 raw bits; no ECC,36.26317237177012,35.52221250320571,0.09500680981487682,0.0023495975974947214,70%,0.0,1.0,N/A
MBRS Global continuation,STRICT internal,64 raw bits; no ECC,36.26317237177012,35.52221250320571,0.09500680981487682,0.0023495975974947214,50%,0.0014374999999999805,0.9985625,N/A
MBRS Global continuation,STRICT internal,64 raw bits; no ECC,36.26317237177012,35.52221250320571,0.09500680981487682,0.0023495975974947214,40%,0.04162500000000002,0.958375,N/A
MBRS Global continuation,STRICT internal,64 raw bits; no ECC,36.26317237177012,35.52221250320571,0.09500680981487682,0.0023495975974947214,30%,0.11312500000000003,0.886875,N/A
MBRS Hard Patch16 / stride8 / Top10 / MSE / image-local 0.5/0.5,STRICT internal,64 raw bits; no ECC,36.442300092307796,35.75437558818228,0.08689696953419754,0.0022151767974719406,100%,0.0,1.0,N/A
MBRS Hard Patch16 / stride8 / Top10 / MSE / image-local 0.5/0.5,STRICT internal,64 raw bits; no ECC,36.442300092307796,35.75437558818228,0.08689696953419754,0.0022151767974719406,70%,0.0,1.0,N/A
MBRS Hard Patch16 / stride8 / Top10 / MSE / image-local 0.5/0.5,STRICT internal,64 raw bits; no ECC,36.442300092307796,35.75437558818228,0.08689696953419754,0.0022151767974719406,50%,0.0014999999999999458,0.9985,N/A
MBRS Hard Patch16 / stride8 / Top10 / MSE / image-local 0.5/0.5,STRICT internal,64 raw bits; no ECC,36.442300092307796,35.75437558818228,0.08689696953419754,0.0022151767974719406,40%,0.04181250000000003,0.9581875,N/A
MBRS Hard Patch16 / stride8 / Top10 / MSE / image-local 0.5/0.5,STRICT internal,64 raw bits; no ECC,36.442300092307796,35.75437558818228,0.08689696953419754,0.0022151767974719406,30%,0.11293750000000002,0.8870625,N/A
TrustMark Q,REFERENCE,100 internal bits; BCH-5; 61 data bits,42.63239357230731,39.70751903455599,0.355391601510114,0.0009647487016627565,100%,0.0038,0.9962000000000001,1.0
TrustMark Q,REFERENCE,100 internal bits; BCH-5; 61 data bits,42.63239357230731,39.70751903455599,0.355391601510114,0.0009647487016627565,70%,0.007880000000000002,0.9921200000000001,0.972
TrustMark Q,REFERENCE,100 internal bits; BCH-5; 61 data bits,42.63239357230731,39.70751903455599,0.355391601510114,0.0009647487016627565,50%,0.05192,0.9480799999999999,0.584
TrustMark Q,REFERENCE,100 internal bits; BCH-5; 61 data bits,42.63239357230731,39.70751903455599,0.355391601510114,0.0009647487016627565,40%,0.1164,0.8835999999999999,0.112
TrustMark Q,REFERENCE,100 internal bits; BCH-5; 61 data bits,42.63239357230731,39.70751903455599,0.355391601510114,0.0009647487016627565,30%,0.19052000000000002,0.80948,0.0
TrustMark P,REFERENCE,100 internal bits; BCH-5; 61 data bits,48.30803366423993,46.57226566479088,0.196822747596782,0.0003047011443413794,100%,0.004,0.9960000000000001,0.96
TrustMark P,REFERENCE,100 internal bits; BCH-5; 61 data bits,48.30803366423993,46.57226566479088,0.196822747596782,0.0003047011443413794,70%,0.018439999999999998,0.9815600000000001,0.84
TrustMark P,REFERENCE,100 internal bits; BCH-5; 61 data bits,48.30803366423993,46.57226566479088,0.196822747596782,0.0003047011443413794,50%,0.07940000000000001,0.9206,0.368
TrustMark P,REFERENCE,100 internal bits; BCH-5; 61 data bits,48.30803366423993,46.57226566479088,0.196822747596782,0.0003047011443413794,40%,0.1636,0.8364,0.044
TrustMark P,REFERENCE,100 internal bits; BCH-5; 61 data bits,48.30803366423993,46.57226566479088,0.196822747596782,0.0003047011443413794,30%,0.25012,0.74988,0.0
