method,percentile,mse,absolute_delta_vs_global,relative_reduction_vs_global
Global continuation,10,0.0006652790470980108,0.0,0
Global continuation,25,0.000745222030673176,0.0,0
Global continuation,50,0.0008638840226922184,0.0,0
Global continuation,75,0.0010701713035814464,0.0,0
Global continuation,90,0.001352571544703096,0.0,0
Global continuation,95,0.001613111677579581,0.0,0
Global continuation,99,0.0021126427641138435,0.0,0
Hard stride16,10,0.0006616307713557035,-3.648275742307327e-06,0.005483827813639008
Hard stride16,25,0.0007327831553993747,-1.2438875273801386e-05,0.016691502346710102
Hard stride16,50,0.0008329749398399144,-3.090908285230398e-05,0.03577920419916848
Hard stride16,75,0.0010181149409618229,-5.205636261962354e-05,0.04864301859469711
Hard stride16,90,0.001314375374931842,-3.819616977125402e-05,0.028239666818984047
Hard stride16,95,0.0015352071204688398,-7.790455711074117e-05,0.04829458381185009
Hard stride16,99,0.001979661446530372,-0.00013298131758347157,0.06294548223786009
Hard stride8,10,0.0006583279115147889,-6.951135583221891e-06,0.010448451087619824
Hard stride8,25,0.0007292918162420392,-1.5930214431136847e-05,0.021376467382139414
Hard stride8,50,0.0008271748665720224,-3.6709156120195985e-05,0.04249315319641534
Hard stride8,75,0.0010105364490300417,-5.9634854551404715e-05,0.05572458759810704
Hard stride8,90,0.0013091508648358286,-4.342067986726748e-05,0.03210231653719935
Hard stride8,95,0.0015232932812068605,-8.981839637272043e-05,0.05568020963526212
Hard stride8,99,0.0019645477388985453,-0.00014809502521529816,0.07009941658424074
Soft T0.25,10,0.0006701797421555967,4.900695057585879e-06,-0.007366375175895018
Soft T0.25,25,0.0007456315361196175,4.095054464414716e-07,-0.0005495079715659452
Soft T0.25,50,0.0008463249250780791,-1.755909761413932e-05,0.020325758033373435
Soft T0.25,75,0.0010293489031028003,-4.082240047864616e-05,0.03814566914850874
Soft T0.25,90,0.0013264911598525942,-2.6080384850501884e-05,0.01928207417392239
Soft T0.25,95,0.0015509264892898493,-6.218518828973165e-05,0.038549834555186166
Soft T0.25,99,0.00201376250712201,-9.88802569918336e-05,0.046804059196117485
Multi-scale,10,0.0006647403817623854,-5.386653356253667e-07,0.0008096833020295152
Multi-scale,25,0.000737538153771311,-7.683876901865005e-06,0.01031085580618703
Multi-scale,50,0.0008380421495530754,-2.584187313914299e-05,0.029913590783412186
Multi-scale,75,0.0010237091046292335,-4.646219895221293e-05,0.043415665133910854
Multi-scale,90,0.0013198509579524398,-3.272058675065628e-05,0.02419139074660838
Multi-scale,95,0.0015437419759109616,-6.936970166861937e-05,0.04300365723761063
Multi-scale,99,0.0019843777921050784,-0.00012826497200876504,0.06071304348634934
