method,image_index,crop_ratio,repeat,protected_bits,raw_ber,raw_bit_accuracy,detection_success,exact_decode_success,ecc_corrected_success,schema,logit_mean,logit_abs_mean
TrustMark Q,0,100%,0,100,0.0,1.0,1,1,1,1,-0.21160270273685455,10.677939414978027
TrustMark Q,0,100%,1,100,0.0,1.0,1,1,1,1,-0.21160270273685455,10.677939414978027
TrustMark Q,0,100%,2,100,0.0,1.0,1,1,1,1,-0.21160270273685455,10.677939414978027
TrustMark Q,0,100%,3,100,0.0,1.0,1,1,1,1,-0.21160270273685455,10.677939414978027
TrustMark Q,0,100%,4,100,0.0,1.0,1,1,1,1,-0.21160270273685455,10.677939414978027
TrustMark Q,0,70%,0,100,0.0,1.0,1,1,1,1,0.25495395064353943,9.1943941116333
TrustMark Q,0,70%,1,100,0.0,1.0,1,1,1,1,0.5013948678970337,9.412184715270996
TrustMark Q,0,70%,2,100,0.0,1.0,1,1,1,1,0.24664321541786194,10.065863609313965
TrustMark Q,0,70%,3,100,0.0,1.0,1,1,1,1,0.6339661478996277,9.000636100769043
TrustMark Q,0,70%,4,100,0.0,1.0,1,1,1,1,0.21117371320724487,9.971336364746094
TrustMark Q,0,50%,0,100,0.04,0.96,1,1,1,1,0.09604516625404358,6.37697696685791
TrustMark Q,0,50%,1,100,0.0,1.0,1,1,1,1,0.6555793881416321,8.276837348937988
TrustMark Q,0,50%,2,100,0.0,1.0,1,1,1,1,0.48175179958343506,8.159695625305176
TrustMark Q,0,50%,3,100,0.04,0.96,1,1,1,1,0.1588008850812912,5.407097339630127
TrustMark Q,0,50%,4,100,0.0,1.0,1,1,1,1,0.18017563223838806,7.1806721687316895
TrustMark Q,0,40%,0,100,0.03,0.97,1,1,1,1,0.2201698273420334,5.5800018310546875
TrustMark Q,0,40%,1,100,0.09,0.91,0,0,0,-1,0.655347466468811,4.723761081695557
TrustMark Q,0,40%,2,100,0.17,0.83,0,0,0,-1,0.03294823318719864,2.641921281814575
TrustMark Q,0,40%,3,100,0.12,0.88,0,0,0,-1,0.3088752031326294,3.004117965698242
TrustMark Q,0,40%,4,100,0.03,0.97,1,1,1,1,0.41064202785491943,5.798893928527832
TrustMark Q,0,30%,0,100,0.23,0.77,0,0,0,-1,-0.08006247878074646,1.5176483392715454
TrustMark Q,0,30%,1,100,0.11,0.89,0,0,0,-1,0.05114126205444336,2.5089333057403564
TrustMark Q,0,30%,2,100,0.11,0.89,0,0,0,-1,0.10511693358421326,2.3537418842315674
TrustMark Q,0,30%,3,100,0.22,0.78,0,0,0,-1,-0.024401338770985603,1.77671217918396
TrustMark Q,0,30%,4,100,0.15,0.85,0,0,0,-1,-0.15317536890506744,2.0873210430145264
TrustMark Q,1,100%,0,100,0.03,0.97,1,1,1,1,-0.19012050330638885,7.223227024078369
TrustMark Q,1,100%,1,100,0.03,0.97,1,1,1,1,-0.19012050330638885,7.223227024078369
TrustMark Q,1,100%,2,100,0.03,0.97,1,1,1,1,-0.19012050330638885,7.223227024078369
TrustMark Q,1,100%,3,100,0.03,0.97,1,1,1,1,-0.19012050330638885,7.223227024078369
TrustMark Q,1,100%,4,100,0.03,0.97,1,1,1,1,-0.19012050330638885,7.223227024078369
TrustMark Q,1,70%,0,100,0.06,0.94,0,0,0,-1,-0.13605381548404694,5.189730644226074
TrustMark Q,1,70%,1,100,0.04,0.96,1,1,1,1,-0.09658343344926834,5.5872602462768555
TrustMark Q,1,70%,2,100,0.02,0.98,1,1,1,1,-0.3121802508831024,6.2468414306640625
TrustMark Q,1,70%,3,100,0.05,0.95,1,1,1,1,-0.13402678072452545,5.377707481384277
TrustMark Q,1,70%,4,100,0.01,0.99,1,1,1,1,-0.270545095205307,5.968817710876465
TrustMark Q,1,50%,0,100,0.09,0.91,0,0,0,-1,-0.023544760420918465,3.190844774246216
TrustMark Q,1,50%,1,100,0.08,0.92,0,0,0,-1,-0.28111523389816284,4.203080177307129
TrustMark Q,1,50%,2,100,0.06,0.94,0,0,0,-1,-0.22116559743881226,4.062989234924316
TrustMark Q,1,50%,3,100,0.12,0.88,0,0,0,-1,-0.19107666611671448,2.820254325866699
TrustMark Q,1,50%,4,100,0.07,0.9299999999999999,0,0,0,-1,-0.14184583723545074,3.7754364013671875
TrustMark Q,1,40%,0,100,0.11,0.89,0,0,0,-1,0.006306565832346678,2.779881000518799
TrustMark Q,1,40%,1,100,0.17,0.83,0,0,0,-1,-0.0653858333826065,2.347374200820923
TrustMark Q,1,40%,2,100,0.23,0.77,0,0,0,-1,-0.12580420076847076,1.925828456878662
TrustMark Q,1,40%,3,100,0.19,0.81,0,0,0,-1,0.010164064355194569,1.9580559730529785
TrustMark Q,1,40%,4,100,0.11,0.89,0,0,0,-1,-0.2131565511226654,2.5952816009521484
TrustMark Q,1,30%,0,100,0.31,0.69,0,0,0,-1,-0.056970056146383286,1.1192125082015991
TrustMark Q,1,30%,1,100,0.23,0.77,0,0,0,-1,-0.0885794460773468,1.3182066679000854
