method,crop_ratio,protected_bits,raw_ber,raw_bit_accuracy,detection_success,exact_decode_success,ecc_corrected_success,trials
TrustMark P,100%,100,0.004,0.9960000000000001,0.96,0.96,0.96,250
TrustMark P,70%,100,0.018439999999999998,0.9815600000000001,0.844,0.84,0.84,250
TrustMark P,50%,100,0.07940000000000001,0.9206,0.38,0.368,0.368,250
TrustMark P,40%,100,0.1636,0.8364,0.048,0.044,0.044,250
TrustMark P,30%,100,0.25012,0.74988,0.028,0.0,0.0,250
TrustMark Q,100%,100,0.0038,0.9962000000000001,1.0,1.0,1.0,250
TrustMark Q,70%,100,0.007880000000000002,0.9921200000000001,0.972,0.972,0.972,250
TrustMark Q,50%,100,0.05192,0.9480799999999999,0.592,0.584,0.584,250
TrustMark Q,40%,100,0.1164,0.8835999999999999,0.124,0.112,0.112,250
TrustMark Q,30%,100,0.19052000000000002,0.80948,0.012,0.0,0.0,250
